fx,fy,fz,tx,ty,tz,t
,0
-0.00403113,-20.741,0.048197,0.92219,-0.00227706,-0.152723,1437
-0.0110273,-30.9396,0.143095,1.39365,-0.00679682,-0.155692,2868
-0.0210586,-40.9603,0.282089,1.8671,-0.0134945,-0.158467,4284
-0.0343797,-50.8119,0.462488,2.33954,-0.0223289,-0.161498,5721
-0.0513675,-60.5282,0.681191,2.8083,-0.0332672,-0.16427,7177
-0.0671916,-70.1489,0.93282,3.27203,-0.0461149,-0.166516,8598
-0.082207,-79.7019,1.21207,3.72998,-0.0607791,-0.169179,10024
-0.0955977,-79.0104,1.51678,3.73134,-0.0771388,-0.16925,11483
1.07194,-55.5331,1.52365,2.70072,-0.0258872,-0.162742,12362
1.05705,-54.9842,1.84654,2.70193,-0.0438392,-0.162623,12923
1.04246,-54.5488,2.18254,2.70301,-0.0631711,-0.163011,14359
1.03039,-54.2041,2.52669,2.70399,-0.0837205,-0.162507,15764
2.20102,-37.8527,2.53553,1.98618,-0.0323335,-0.157993,16308
2.18977,-37.5828,2.88433,1.98699,-0.0539186,-0.158366,17208
2.17827,-37.3714,3.23362,1.98765,-0.0764285,-0.158505,18616
2.1698,-37.2048,3.58107,1.98818,-0.0996927,-0.157986,20060
3.27261,-25.8903,3.59059,1.49149,-0.0512833,-0.154879,20242
3.2656,-25.7588,3.9328,1.49212,-0.0752002,-0.154764,21493
3.25717,-25.6562,4.27073,1.49275,-0.0995344,-0.155063,22906
4.23651,-17.8524,4.28472,1.15018,-0.0565463,-0.152932,24183
4.22757,-17.7674,4.61176,1.15062,-0.0812869,-0.15285,24349
4.22433,-17.7045,4.92853,1.15097,-0.106228,-0.152483,25817
4.22217,-17.6562,5.23279,1.15121,-0.131217,-0.153014,27252
5.05648,-12.2943,5.23633,0.915833,-0.094593,-0.151559,28114
5.05292,-12.2547,5.529,0.91603,-0.119575,-0.151149,28641
5.04745,-12.2266,5.80771,0.916309,-0.144451,-0.151544,30084
5.04326,-12.204,6.0748,0.916583,-0.169139,-0.151399,31513
5.75204,-8.48677,6.07818,0.7534,-0.138025,-0.150397,32089
5.75142,-8.47016,6.33123,0.753484,-0.162387,-0.150553,32949
5.75304,-8.4512,6.57484,0.753705,-0.186367,-0.150887,34366
5.75228,-8.44117,6.80132,0.753752,-0.209986,-0.150698,35805
6.33786,-5.89209,6.81063,0.641851,-0.184283,-0.150016,36006
6.33822,-5.88113,7.02574,0.64195,-0.207452,-0.149218,37241
6.33812,-5.87279,7.22776,0.641932,-0.230164,-0.149756,38682
6.82083,-4.14602,7.23654,0.566129,-0.208976,-0.149299,39928
6.81712,-4.14135,7.42645,0.566271,-0.231169,-0.149027,40114
6.82038,-4.14002,7.60446,0.566293,-0.252735,-0.149851,41535
6.82646,-4.13433,7.77341,0.566448,-0.273669,-0.149711,42981
7.21673,-2.93918,7.78136,0.513983,-0.256539,-0.149397,43882
7.21926,-2.93904,7.93907,0.513947,-0.276915,-0.149012,44411
7.22304,-2.93357,8.08711,0.514027,-0.296634,-0.149137,45850
7.22368,-2.93232,8.22487,0.513872,-0.315799,-0.148892,47265
7.5405,-2.11028,8.23087,0.477785,-0.301893,-0.14868,47833
7.54586,-2.10728,8.36165,0.478,-0.320413,-0.148803,48725
7.54501,-2.10859,8.48354,0.477923,-0.338337,-0.148655,50134
7.54197,-2.1084,8.59717,0.477872,-0.355649,-0.148777,51565
7.79039,-1.53786,8.60109,0.452826,-0.344745,-0.148631,51801
7.79058,-1.53337,8.70695,0.452815,-0.361408,-0.148651,53001
7.79409,-1.52581,8.80845,0.452869,-0.377471,-0.148371,54415
