fx,fy,fz,tx,ty,tz,t
,0
-0.196614,-20.6831,0.000932583,0.910585,-0.00083894,0.00244022,1437
-0.568277,-30.781,0.00260603,1.36037,-0.0025033,0.00103846,2868
-1.07875,-40.6805,0.00503411,1.80471,-0.00497225,-0.00172152,4284
-1.68895,-50.4083,0.00789746,2.24335,-0.00822657,-0.00475152,5721
-2.35849,-60.0102,0.0113585,2.67629,-0.0122706,-0.00752384,7177
-3.04162,-69.5322,0.0155492,3.10455,-0.0170115,-0.00977,8598
-3.71086,-79.0031,0.0197393,3.52887,-0.0224277,-0.0124335,10024
-4.34768,-78.2445,0.0257863,3.49919,-0.0284522,-0.0125042,11483
-3.16974,-54.9846,0.0306645,2.47811,0.0232564,-0.0060573,12362
-3.76279,-54.382,0.0368201,2.45143,0.0166163,-0.00593821,12923
-4.30374,-53.904,0.0428969,2.42786,0.00947316,-0.00632609,14359
-4.78733,-53.5258,0.0491595,2.40738,0.00186364,-0.00582221,15764
-3.60616,-37.3259,0.0556747,1.69623,0.0537136,-0.00135169,16308
-4.03752,-37.0296,0.0616452,1.67841,0.0457556,-0.00172474,17208
-4.41912,-36.7975,0.067624,1.66307,0.0374299,-0.00186306,18616
-4.75312,-36.6146,0.0736009,1.64987,0.0288413,-0.0013447,20060
-3.64046,-25.4048,0.0806256,1.15777,0.0776836,0.00173267,20242
-3.93213,-25.2605,0.0861498,1.14666,0.0688296,0.00184771,21493
-4.18827,-25.1479,0.0947947,1.13731,0.0598405,0.00154895,22906
-3.20019,-17.4164,0.106235,0.797902,0.103213,0.00365946,24183
-3.42485,-17.3236,0.112564,0.789832,0.0940386,0.00374058,24349
-3.6159,-17.2545,0.11829,0.78291,0.0848216,0.00410776,25817
-3.78071,-17.2014,0.122864,0.776994,0.0756132,0.00357676,27252
-2.9389,-11.8892,0.123906,0.543795,0.112568,0.00501799,28114
-3.08268,-11.8458,0.129677,0.538788,0.103326,0.00542734,28641
-3.20967,-11.8147,0.133815,0.534642,0.0941281,0.00503259,30084
