ax,ay,az,fx,fy,fz,tx,ty,tz,t
1.17563e-311,1.17563e-311,0,0,0,0,0,0,0,0
0.0170089,0.00479422,0.222426,-0.0568763,-0.781181,2.66334,0.00786911,-0.000944498,-0.145757,0
0.0170089,0.00479422,0.222426,-0.100931,-0.931844,5.40021,0.023245,-0.00410058,-0.147944,1436
0.0170089,0.00479422,0.222426,-0.123826,-0.965861,7.32525,0.0446309,-0.00880948,-0.148271,2897
0.0170089,0.00479422,0.222426,-0.134177,-0.97797,8.51318,0.0704074,-0.0150337,-0.148237,4324
0.0170089,0.00479422,0.222426,-0.145923,-0.971632,9.19006,0.0988339,-0.0227427,-0.14788,5749
0.0170089,0.00479422,0.222426,-0.160082,-0.961747,9.58611,0.12831,-0.0318751,-0.14849,7180
-0.0171482,-0.947844,0.107631,-0.160082,-0.961747,9.58611,0.12831,-0.0318751,-0.14849,8416
-0.0172584,-0.94834,0.107576,-0.182219,-0.98689,9.85027,0.162326,-0.0438929,-0.148242,8598
-0.0172599,-0.94834,0.107576,-0.17694,-0.959669,9.97848,0.193334,-0.0571199,-0.148596,10023
-0.0172599,-0.94834,0.107576,-0.213669,-0.901254,10.078,0.220593,-0.0714993,-0.148354,11448
-0.0187754,-0.983093,0.0834947,-0.213669,-0.901254,10.078,0.220593,-0.0714993,-0.148354,12322
-0.0187754,-0.983093,0.0835498,-0.28859,-1.03971,10.1302,0.249918,-0.088465,-0.148996,12886
-0.0187754,-0.983093,0.0835498,-0.285628,-0.988375,10.1579,0.273968,-0.10628,-0.149135,14319
-0.0187754,-0.983093,0.0835498,-0.212465,-0.937175,10.1816,0.293917,-0.124738,-0.148505,15738
-0.0190026,-0.985443,0.0772285,-0.212465,-0.937175,10.1816,0.293917,-0.124738,-0.148505,16259
-0.0190026,-0.985388,0.0772285,-0.155395,-1.04795,10.0871,0.31482,-0.145195,-0.148607,17180
-0.0190026,-0.985388,0.0772285,-0.172499,-0.82067,10.1372,0.329739,-0.166172,-0.148003,18627
-0.0190036,-0.985388,0.0772286,-0.260282,-0.80517,10.1434,0.34158,-0.187681,-0.147343,20055
-0.0192443,-0.985583,0.0755548,-0.260282,-0.80517,10.1434,0.34158,-0.187681,-0.147343,20222
-0.0208422,-0.988118,0.0768219,-0.339974,-1.08512,10.1546,0.356538,-0.210822,-0.149078,21492
-0.0208422,-0.988118,0.0768219,-0.337687,-0.940999,10.1957,0.366108,-0.234065,-0.148285,22912
