ax,ay,az,fx,fy,fz,tx,ty,tz,t
9.87655e-312,9.87655e-312,0,0,0,0,0,0,0,0
-2.21388,-4.24648e-07,-0.000158869,-2.06399,-3.95898e-07,-0.000148113,9.32301e-09,-0.0906066,0.000112268,0
-4.42776,-8.49297e-07,-0.000317739,-1.38706,-0.825111,3.26068,0.0114693,-0.183109,-0.146478,1436
-6.64164,-1.27395e-06,-0.000476608,-0.987327,-0.954166,6.30497,0.0331182,-0.277144,-0.148257,2897
-8.85551,-1.69859e-06,-0.000635478,-0.886523,-0.977044,8.12856,0.0621709,-0.372259,-0.148235,4324
-11.0694,-2.12324e-06,-0.000794347,-0.870316,-0.971222,9.08149,0.0956828,-0.468059,-0.147877,5749
-13.2833,-2.54789e-06,-0.000953217,-0.875873,-0.961234,9.58346,0.130933,-0.564133,-0.148492,7180
-1.42358,-0.954146,0.0609612,-2.93986,-0.961235,9.58331,0.130933,-0.65474,-0.148379,8416
-3.63746,-0.954147,0.0608023,-1.42841,-0.985944,9.83216,0.165887,-0.749596,-0.14824,8598
-3.63746,-0.954147,0.060787,-0.496766,-0.958357,9.97749,0.198969,-0.754435,-0.148597,10023
-3.63746,-0.954147,0.0607718,-0.29877,-0.898398,10.0884,0.22854,-0.759842,-0.148353,11448
-0.57003,-0.983408,0.0712164,-0.29877,-0.898398,10.0884,0.22854,-0.759842,-0.148353,12322
-0.57003,-0.983408,0.0712012,-0.306245,-1.03494,10.1321,0.257193,-0.765861,-0.148995,12886
-0.57003,-0.983408,0.0711859,-0.289946,-0.98549,10.1607,0.281572,-0.772323,-0.149136,14319
-0.57003,-0.983408,0.0711707,-0.207773,-0.934475,10.1856,0.302154,-0.779045,-0.148502,15738
-0.10326,-0.98546,0.073937,-0.207773,-0.934475,10.1855,0.302154,-0.779045,-0.148502,16259
-0.10326,-0.98546,0.0739217,-0.157292,-1.04412,10.0951,0.32194,-0.786097,-0.148607,17180
-0.10326,-0.985461,0.0739064,-0.17418,-0.80983,10.1446,0.336507,-0.793509,-0.148,18627
-0.10326,-0.98546,0.0738962,-0.267802,-0.803075,10.1479,0.348265,-0.801335,-0.14734,20055
-0.0320628,-0.985588,0.0746673,-0.267802,-0.803074,10.1479,0.348265,-0.801335,-0.14734,20222
-0.0320628,-0.985587,0.074657,-0.337232,-1.07571,10.1556,0.362137,-0.809379,-0.149073,21492
-0.0320628,-0.985587,0.0746468,-0.33683,-0.933545,10.1989,0.371251,-0.817657,-0.148282,22912
-0.0117059,-0.990865,0.0696731,-0.33683,-0.933544,10.1988,0.371251,-0.817657,-0.148282,24189
-0.0117059,-0.990864,0.0696629,-0.255845,-1.02573,10.2146,0.380639,-0.825798,-0.147913,24363
-0.0117059,-0.990864,0.0696527,-0.220686,-1.00281,10.1619,0.388252,-0.834015,-0.148325,25808
-0.0117059,-0.990863,0.0696425,-0.277843,-0.784221,10.1404,0.392067,-0.842446,-0.14869,27241
-0.0086186,-0.988214,0.0736992,-0.277843,-0.784221,10.1404,0.392067,-0.842446,-0.14869,28085
-0.0086186,-0.988213,0.073689,-0.353997,-0.901385,10.1364,0.397382,-0.850952,-0.14757,28643
-0.0086186,-0.988214,0.0736313,-0.33202,-0.882957,10.1405,0.401117,-0.859311,-0.147966,30076
-0.0086186,-0.988214,0.0735736,-0.272338,-0.971103,10.1547,0.405291,-0.867608,-0.147874,31518
-0.0095902,-0.988048,0.0747457,-0.272338,-0.971103,10.1546,0.405291,-0.867608,-0.147874,32020
-0.0095902,-0.988048,0.074688,-0.21095,-1.05399,10.1403,0.409989,-0.875594,-0.147393,32984
-0.0095902,-0.988049,0.0746304,-0.235543,-0.842271,10.1446,0.411145,-0.883507,-0.148517,34371
-0.0095902,-0.988049,0.0745727,-0.257181,-0.835791,10.1136,0.412689,-0.89142,-0.149001,35809
-0.00891144,-1.00338,0.0708996,-0.257181,-0.835791,10.1136,0.412689,-0.89142,-0.149001,35961
-0.00891144,-1.00338,0.0708419,-0.237938,-0.862744,10.084,0.414435,-0.899077,-0.147735,37238
-0.00891144,-1.00338,0.0707842,-0.188954,-0.815884,10.0969,0.414801,-0.90644,-0.148606,38689
-0.0088077,-1.01075,0.0695402,-0.188954,-0.815884,10.0969,0.414801,-0.90644,-0.148606,39917
-0.0088077,-1.01075,0.0695286,-0.160348,-0.98269,10.0909,0.417296,-0.913702,-0.148274,40118
-0.0088077,-1.01074,0.0695169,-0.137866,-0.952657,10.1132,0.418875,-0.920646,-0.148339,41538
-0.0088077,-1.01074,0.0695052,-0.136571,-0.870277,10.0978,0.419237,-0.927353,-0.147866,42968
-0.0114798,-1.0112,0.0691994,-0.136571,-0.870277,10.0978,0.419237,-0.927353,-0.147866,43845
-0.0114798,-1.0112,0.0691877,-0.160456,-0.883628,10.0761,0.420039,-0.934137,-0.147521,44407
-0.0114798,-1.0112,0.069176,-0.117422,-0.789737,10.067,0.419594,-0.940363,-0.147638,45844
-0.0114798,-1.0112,0.0691644,-0.084774,-0.893077,10.0478,0.420478,-0.946366,-0.148732,47258
-0.0185036,-0.988792,0.0566004,-0.084774,-0.893077,10.0478,0.420478,-0.946366,-0.148732,47766
-0.0185036,-0.988791,0.0565887,-0.0611162,-0.969443,10.0577,0.421898,-0.952257,-0.148338,48699
-0.0185036,-0.988791,0.0565902,-0.0643057,-0.900823,10.077,0.42196,-0.958047,-0.148056,50134
-0.0185036,-0.988791,0.0565916,-0.0772259,-0.954884,10.0561,0.423092,-0.963372,-0.149875,51588
-0.019581,-0.983275,0.0661053,-0.0772259,-0.954884,10.0561,0.423092,-0.963372,-0.149875,51703
-0.019581,-0.983275,0.0661068,-0.117842,-0.891149,10.0454,0.423068,-0.968992,-0.149687,53017
-0.019581,-0.983275,0.0661082,-0.0638604,-0.841668,10.0552,0.422377,-0.973966,-0.147818,54458
-0.0160203,-0.982932,0.0686546,-0.0638604,-0.841668,10.0552,0.422377,-0.973966,-0.147818,55663
-0.0160203,-0.982932,0.0686561,-0.0235382,-0.950377,10.0462,0.423219,-0.978745,-0.148115,55864
-0.0160203,-0.982932,0.0686575,0.00636271,-0.967501,10.0479,0.423888,-0.983257,-0.149286,57298
-0.0160203,-0.982932,0.068659,-0.0618093,-0.965899,10.0848,0.424556,-0.98797,-0.147367,58752
-0.0204403,-0.978561,0.0643295,-0.0618093,-0.965899,10.0848,0.424556,-0.98797,-0.147367,59586
-0.0204403,-0.978561,0.0643331,-0.0708654,-0.969346,10.0582,0.425243,-0.992278,-0.147677,60175
-0.0204403,-0.97856,0.0643367,-0.143425,-0.927556,10.0592,0.425094,-0.996771,-0.148156,61638
-0.0204403,-0.97856,0.0643402,-0.153918,-0.926598,10.0568,0.425126,-1.00102,-0.147118,63083
-0.0211181,-0.979892,0.0624563,-0.153918,-0.926598,10.0568,0.425126,-1.00102,-0.147118,63529
-0.0211181,-0.979892,0.0624599,-0.113486,-0.921115,10.0655,0.425252,-1.00488,-0.148272,64473
-0.0211181,-0.979892,0.0624635,-0.0918753,-0.97655,10.0664,0.425673,-1.00858,-0.148566,65914
-0.0211181,-0.979891,0.062467,-0.0896599,-1.00828,10.0941,0.426585,-1.01219,-0.147727,67343
-0.0276369,-0.979975,0.0619552,-0.0896599,-1.00828,10.0941,0.426585,-1.01219,-0.147727,67484
-0.0276369,-0.979974,0.0619588,-0.183024,-0.961801,10.1044,0.426316,-1.01594,-0.147675,68797
-0.0276369,-0.979974,0.0619671,-0.183811,-0.946271,10.0975,0.426437,-1.01929,-0.148594,70211
-0.0184936,-0.978376,0.0700518,-0.183811,-0.94627,10.0975,0.426437,-1.01929,-0.148594,71426
-0.0184936,-0.978376,0.0700602,-0.245132,-0.948099,10.0953,0.426415,-1.02291,-0.147691,71618
-0.0184936,-0.978376,0.0700686,-0.231945,-0.925608,10.1231,0.426136,-1.02607,-0.147987,73052
-0.0184936,-0.978375,0.0700769,-0.244401,-0.996301,10.1307,0.426655,-1.02939,-0.148298,74493
-0.0170973,-0.981943,0.0709674,-0.244401,-0.996301,10.1307,0.426655,-1.02939,-0.148298,75370
-0.0170973,-0.981942,0.0709757,-0.174677,-1.00829,10.1457,0.427302,-1.03223,-0.147778,75922
-0.0170973,-0.981942,0.0709841,-0.177053,-0.999514,10.1645,0.427611,-1.03507,-0.147747,77342
-0.0170973,-0.981941,0.0709925,-0.183204,-0.965664,10.1434,0.427739,-1.03771,-0.148447,78783
-0.0237088,-0.982163,0.071212,-0.183204,-0.965663,10.1434,0.427739,-1.03771,-0.148447,79305
-0.0237088,-0.982164,0.0712259,-0.259299,-0.931315,10.1447,0.427229,-1.04054,-0.147612,80221
-0.0237088,-0.982164,0.0712398,-0.308581,-0.925543,10.1453,0.427042,-1.04318,-0.147814,81690
-0.0237088,-0.982164,0.0712537,-0.359061,-0.967233,10.1313,0.427208,-1.04599,-0.148244,83068
-0.0209971,-0.994085,0.0698527,-0.359061,-0.967233,10.1313,0.427208,-1.04599,-0.148244,83242
-0.0209971,-0.994086,0.0698666,-0.369153,-0.982343,10.1464,0.427296,-1.04856,-0.148183,84543
-0.0209971,-0.994086,0.0698805,-0.289924,-1.00329,10.1389,0.427707,-1.05081,-0.148146,85944
-0.0205826,-0.994824,0.0775323,-0.289924,-1.00329,10.1389,0.427707,-1.05081,-0.148146,87178
-0.0205826,-0.994825,0.0775462,-0.17759,-0.983268,10.1415,0.427877,-1.05275,-0.148594,87400
-0.0205826,-0.994825,0.0775602,-0.16684,-0.900477,10.131,0.427221,-1.0546,-0.148478,88803
-0.0205826,-0.994825,0.0775874,-0.208632,-0.919726,10.111,0.426849,-1.05648,-0.148603,90248
-0.0124505,-0.988457,0.0795989,-0.208632,-0.919726,10.111,0.426849,-1.05648,-0.148603,91125
-0.0124505,-0.988457,0.0796261,-0.284784,-0.915911,10.12,0.426566,-1.0585,-0.148655,91702
-0.0124505,-0.988457,0.0796533,-0.355258,-0.932876,10.1406,0.426642,-1.06069,-0.148211,93112
-0.0124505,-0.988457,0.0796805,-0.285508,-0.97446,10.1319,0.427066,-1.06247,-0.148426,94534
-0.0130719,-1.0096,0.0712089,-0.285508,-0.97446,10.1319,0.427066,-1.06247,-0.148426,95079
-0.0130719,-1.0096,0.0712361,-0.193836,-0.963418,10.1344,0.427037,-1.06399,-0.148212,95971
-0.0130719,-1.0096,0.0712633,-0.0913143,-0.917168,10.1083,0.426745,-1.06505,-0.148292,97437
-0.0130719,-1.0096,0.0712905,-0.113804,-0.872438,10.0766,0.426292,-1.06633,-0.148457,98847
-0.0131664,-1.0109,0.067368,-0.113804,-0.872438,10.0766,0.426292,-1.06633,-0.148457,98987
-0.0131664,-1.0109,0.0674209,-0.0952902,-0.84394,10.0412,0.425377,-1.06738,-0.148372,100273
-0.0131664,-1.0109,0.0674738,-0.191814,-0.870686,10.0131,0.42497,-1.06871,-0.148198,101690
-0.0154626,-0.991032,0.0663433,-0.191814,-0.870686,10.0132,0.42497,-1.06871,-0.148198,103014
-0.0154626,-0.991032,0.0663962,-0.264369,-0.886267,10.0213,0.424848,-1.07021,-0.148912,103164
-0.0154626,-0.991032,0.0664491,-0.239816,-0.898848,10.0441,0.424813,-1.07146,-0.148374,104567
-0.0154626,-0.991032,0.0665021,-0.156255,-0.925535,10.0221,0.424907,-1.07254,-0.148124,106011
-0.0137361,-0.994866,0.0732585,-0.156255,-0.925535,10.0222,0.424907,-1.07254,-0.148124,106996
-0.0137361,-0.994866,0.0733114,-0.02761,-0.882688,10.0656,0.424653,-1.07304,-0.148427,107447
-0.0137361,-0.994866,0.0733643,0.00455201,-0.874521,10.0579,0.424677,-1.0738,-0.148805,108871
-0.0137361,-0.994866,0.0733933,0.0478191,-0.852393,10.0612,0.424363,-1.07414,-0.147982,110301
-0.0134751,-0.995101,0.0643627,0.0478191,-0.852393,10.0613,0.424363,-1.07414,-0.147982,110899
-0.0134751,-0.995101,0.0643917,-0.030076,-0.878899,10.0714,0.424565,-1.07486,-0.148179,111719
-0.0134751,-0.995101,0.0644206,-0.170239,-0.906567,10.0437,0.424483,-1.07582,-0.14803,113152
-0.0134751,-0.995101,0.0644496,-0.283934,-0.920566,10.0946,0.424989,-1.07709,-0.147587,114600
-0.0312135,-0.990537,0.0619583,-0.283934,-0.920566,10.0946,0.424989,-1.07709,-0.147587,114823
-0.0312135,-0.990537,0.0619872,-0.284635,-0.90049,10.071,0.424781,-1.07815,-0.147706,116027
-0.0312135,-0.990537,0.0620162,-0.149427,-0.902987,10.0656,0.424857,-1.07886,-0.148059,117442
-0.0229572,-0.976502,0.0618413,-0.149427,-0.902987,10.0656,0.424857,-1.07886,-0.148059,118814
-0.0229572,-0.976502,0.0618703,-0.0319803,-0.869645,10.0806,0.424566,-1.07914,-0.147921,118885
-0.0229572,-0.976502,0.0618753,0.0116743,-0.88551,10.069,0.424205,-1.07946,-0.148515,120338
