ax,ay,az,fx,fy,fz,tx,ty,tz,t
1.23599e-311,1.23599e-311,0,0,0,0,0,0,0,0
-2.21388,7.90649e-06,-2.05069e-05,-0.844828,-0.74296,2.40731,-3.24229e-07,-0.0907867,-0.155951,0
-4.42776,1.5813e-05,-4.10138e-05,-0.959654,-0.880759,5.07365,-6.48459e-07,-0.181573,-0.158482,1406
-6.64164,2.37195e-05,-6.15207e-05,-0.974251,-0.89622,6.97111,-9.72688e-07,-0.27236,-0.158365,2863
-8.85551,3.1626e-05,-8.20276e-05,-0.969931,-0.907733,8.11934,-1.29692e-06,-0.363147,-0.158523,4309
-11.0694,3.95324e-05,-0.000102534,-0.968334,-0.917711,8.78931,-1.62115e-06,-0.453934,-0.158648,5725
-13.2833,4.74389e-05,-0.000123041,-0.965742,-0.905601,9.17219,-1.94538e-06,-0.54472,-0.158519,7162
-1.66775,-0.960705,0.0684195,-3.02908,-0.905594,9.17217,-2.26961e-06,-0.635507,-0.158519,8416
-3.88163,-0.960698,0.068399,-1.10193,-0.912575,9.4387,-2.59383e-06,-0.726294,-0.158638,8600
-3.88163,-0.960697,0.0683988,-0.359789,-0.909416,9.54776,-2.59928e-06,-0.726294,-0.158125,10035
-3.88163,-0.960697,0.0683987,-0.158806,-0.897487,9.60487,-2.60473e-06,-0.726294,-0.15744,11450
-0.593366,-0.990724,0.0838675,-0.158806,-0.897487,9.60487,-2.61018e-06,-0.726294,-0.15744,12409
-0.593366,-0.990724,0.0838674,-0.0785765,-0.922649,9.6453,-2.61562e-06,-0.726294,-0.159005,12893
-0.593366,-0.990724,0.0838672,-0.0619473,-0.915562,9.66626,-2.62107e-06,-0.726294,-0.15835,14299
-0.593366,-0.990723,0.0838671,-0.0683939,-0.905643,9.67382,-2.62652e-06,-0.726294,-0.158205,15762
-0.100413,-0.996453,0.0905941,-0.0683939,-0.905643,9.67382,-2.63197e-06,-0.726294,-0.158205,16321
-0.100413,-0.996453,0.090594,-0.0743382,-0.908369,9.69161,-2.63741e-06,-0.726294,-0.157401,17179
-0.100413,-0.996453,0.0905939,-0.0871073,-0.900564,9.68452,-2.64286e-06,-0.726294,-0.158059,18611
-0.100413,-0.996453,0.0905937,-0.0849125,-0.891029,9.68762,-2.64831e-06,-0.726294,-0.157933,20033
-0.0240829,-0.996803,0.0923753,-0.0849125,-0.891029,9.68762,-2.64069e-06,-0.726294,-0.157933,20291
-0.0240829,-0.996803,0.0923758,-0.0806096,-0.899455,9.69351,-2.63306e-06,-0.726294,-0.158197,21483
-0.0240829,-0.996804,0.0923764,-0.106775,-0.915163,9.71012,-2.62544e-06,-0.726294,-0.158248,22917
-0.0185777,-0.996599,0.0872335,-0.106775,-0.915163,9.71012,-2.61782e-06,-0.726294,-0.158248,24241
-0.0185777,-0.9966,0.087234,-0.0986465,-0.913897,9.72074,-2.6102e-06,-0.726294,-0.157762,24324
-0.0185777,-0.9966,0.0872346,-0.105937,-0.908149,9.71427,-2.60258e-06,-0.726294,-0.158155,25754
-0.0185777,-0.9966,0.0872351,-0.108104,-0.894848,9.71427,-2.59496e-06,-0.726294,-0.158153,27234
-0.0175229,-0.993145,0.0884299,-0.108104,-0.894848,9.71427,-2.58733e-06,-0.726294,-0.158153,28165
-0.0175229,-0.993145,0.0884305,-0.101186,-0.905886,9.72615,-2.57971e-06,-0.726294,-0.15814,28639
-0.0175229,-0.993146,0.088431,-0.107101,-0.907261,9.7175,-2.57209e-06,-0.726294,-0.157765,30083
