ax,ay,az,fx,fy,fz,tx,ty,tz,t
6.38036e-312,6.38036e-312,0,0,0,0,0,0,0,0
0.0197776,0.0024801,0.2254,-0.0148089,-0.742562,2.56578,0.00774988,-0.000819146,-0.155947,0
0.0197776,0.0024801,0.2254,-0.0291311,-0.8807,5.17446,0.0226942,-0.00395142,-0.158482,1406
0.0197776,0.0024801,0.2254,-0.0347025,-0.896212,7.03076,0.0435271,-0.00861952,-0.158365,2863
0.0197776,0.0024801,0.2254,-0.0298444,-0.907733,8.15374,0.0685444,-0.0147878,-0.158523,4309
0.0197776,0.0024801,0.2254,-0.0283051,-0.917713,8.80898,0.0961656,-0.0224166,-0.158648,5725
0.0197776,0.0024801,0.2254,-0.0257526,-0.905602,9.18341,0.124966,-0.0314498,-0.158519,7162
-0.00769507,-0.960613,0.117816,-0.0257526,-0.905602,9.18341,0.124966,-0.0314498,-0.158519,8416
-0.00730938,-0.960227,0.116439,-0.0245709,-0.912541,9.44349,0.158096,-0.0433027,-0.158638,8600
-0.00730939,-0.960227,0.116439,-0.0328696,-0.909411,9.55036,0.18834,-0.0563951,-0.158125,10035
-0.00730939,-0.960227,0.116439,-0.0567938,-0.897485,9.60633,0.215806,-0.0706202,-0.15744,11450
-0.011887,-0.990695,0.0964478,-0.0567938,-0.897485,9.60633,0.215806,-0.0706202,-0.15744,12409
-0.0110605,-0.990695,0.0973844,-0.0567271,-0.92265,9.64641,0.243195,-0.0872689,-0.159005,12893
-0.0110605,-0.990695,0.0973844,-0.0553171,-0.915562,9.66687,0.266684,-0.104799,-0.15835,14299
-0.0110605,-0.990695,0.0973844,-0.0663258,-0.905643,9.67416,0.286755,-0.123093,-0.158205,15762
-0.0124483,-0.996451,0.0941741,-0.0663258,-0.905643,9.67416,0.286755,-0.123093,-0.158205,16321
-0.0124483,-0.996947,0.0941741,-0.073899,-0.908414,9.69177,0.305903,-0.143433,-0.157401,17179
-0.0124483,-0.996947,0.0941741,-0.086975,-0.900571,9.68461,0.321753,-0.164225,-0.158058,18611
-0.0124483,-0.996947,0.0941741,-0.0848711,-0.89103,9.68767,0.33499,-0.185405,-0.157933,20033
-0.0107927,-0.996833,0.0933241,-0.084871,-0.89103,9.68767,0.33499,-0.185405,-0.157933,20291
-0.0126109,-0.995291,0.093269,-0.0809608,-0.899315,9.69351,0.347301,-0.208216,-0.158197,21483
-0.0126109,-0.995291,0.093269,-0.106884,-0.915141,9.71012,0.357533,-0.231005,-0.158248,22917
-0.0164636,-0.996481,0.0875069,-0.106884,-0.915141,9.71012,0.357533,-0.231005,-0.158248,24241
-0.015582,-0.996481,0.0866805,-0.0984946,-0.913895,9.72038,0.366778,-0.255011,-0.157762,24324
-0.015582,-0.996481,0.0866805,-0.105891,-0.908148,9.71407,0.374267,-0.278856,-0.158155,25754
-0.015582,-0.996481,0.0866805,-0.10809,-0.894847,9.71416,0.380429,-0.30248,-0.158153,27234
-0.017068,-0.993138,0.0882811,-0.10809,-0.894847,9.71416,0.380429,-0.30248,-0.158153,28165
-0.017068,-0.994515,0.0882812,-0.101182,-0.906012,9.7261,0.385971,-0.326905,-0.15814,28639
-0.017068,-0.994515,0.0882812,-0.1071,-0.907282,9.71747,0.390616,-0.35087,-0.157765,30083
-0.017068,-0.994515,0.0882812,-0.111042,-0.908299,9.72301,0.394356,-0.374405,-0.157872,31530
-0.0121126,-0.993018,0.0887117,-0.111042,-0.908299,9.72301,0.394356,-0.374405,-0.157872,32110
-0.0119473,-0.993183,0.0886016,-0.106659,-0.909361,9.71899,0.397901,-0.398392,-0.157499,32981
-0.0119473,-0.993183,0.0886016,-0.108272,-0.914764,9.72789,0.400701,-0.421779,-0.157474,34346
-0.0119473,-0.993183,0.0886016,-0.117594,-0.901173,9.71859,0.403077,-0.444525,-0.158144,35805
-0.0107171,-0.992478,0.0893351,-0.117594,-0.901173,9.71859,0.403077,-0.444525,-0.158144,36125
-0.00856829,-0.992478,0.0907674,-0.101021,-0.904705,9.72142,0.405282,-0.467398,-0.15763,37274
-0.00856829,-0.992478,0.0907674,-0.0952337,-0.902932,9.72562,0.407046,-0.489616,-0.157493,38717
-0.0101425,-0.998285,0.0965611,-0.0952337,-0.902932,9.72562,0.407046,-0.489616,-0.157493,40073
-0.0101425,-0.997073,0.0965611,-0.0998744,-0.904315,9.71978,0.408601,-0.511835,-0.157879,40172
-0.0101425,-0.997073,0.0965611,-0.109443,-0.903572,9.71743,0.409931,-0.53332,-0.15802,41565
-0.0101425,-0.997073,0.0965611,-0.100844,-0.905729,9.71637,0.410984,-0.553941,-0.157634,43005
-0.0149995,-0.998675,0.098435,-0.100844,-0.905729,9.71637,0.410984,-0.553941,-0.157634,44069
-0.016377,-1.0011,0.0991506,-0.0941619,-0.898986,9.71191,0.411944,-0.574589,-0.157647,44430
-0.016377,-1.0011,0.0991506,-0.101362,-0.895706,9.71664,0.41265,-0.594339,-0.157881,45852
-0.016377,-1.0011,0.0991506,-0.0718109,-0.903682,9.70546,0.413236,-0.61324,-0.15795,47267
-0.00682686,-1.0019,0.0946445,-0.0718109,-0.903682,9.70546,0.413236,-0.61324,-0.15795,47954
-0.00743293,-1.0019,0.0944256,-0.0786096,-0.892651,9.70633,0.413873,-0.632061,-0.157657,48733
-0.00743293,-1.0019,0.0944256,-0.0520887,-0.906032,9.69187,0.414155,-0.649906,-0.158353,50171
-0.00743289,-1.0019,0.0944256,-0.0418294,-0.896009,9.70155,0.414509,-0.667061,-0.158081,51615
-0.00547535,-1.00104,0.0914171,-0.0418294,-0.896009,9.70155,0.414509,-0.667061,-0.158081,51892
-0.00547534,-1.00043,0.0914171,-0.0437749,-0.917769,9.69143,0.414664,-0.683964,-0.158616,53026
-0.00547534,-1.00043,0.0914171,-0.0741658,-0.895154,9.69866,0.414905,-0.700202,-0.157666,54441
-0.00738179,-1.00094,0.0906645,-0.0741658,-0.895154,9.69866,0.414905,-0.700202,-0.157666,55809
-0.00749196,-1.00028,0.0905539,-0.101355,-0.885512,9.68696,0.415185,-0.716313,-0.157946,55903
-0.00749196,-1.00028,0.0905539,-0.0810715,-0.895935,9.69643,0.415533,-0.731486,-0.157527,57336
-0.00749196,-1.00028,0.0905539,-0.0295228,-0.898096,9.68662,0.415517,-0.745897,-0.158653,58750
-0.0102487,-1.00048,0.0900341,-0.0295228,-0.898096,9.68662,0.415517,-0.745897,-0.158653,59707
-0.0101937,-1.00048,0.101823,0.0140081,-0.922593,9.68135,0.41565,-0.759883,-0.158537,60186
-0.0101937,-1.00048,0.101823,-0.00622768,-0.905946,9.68179,0.415676,-0.773384,-0.158523,61625
-0.0101937,-1.00048,0.101823,-0.0303177,-0.915918,9.68217,0.415803,-0.786178,-0.15849,63065
-0.0106593,-1.04954,0.093201,-0.0303177,-0.915918,9.68217,0.415803,-0.786178,-0.15849,63670
-0.0106592,-1.04965,0.0790972,-0.112618,-0.883542,9.67765,0.416014,-0.79893,-0.157255,64474
-0.0106592,-1.04965,0.0790972,-0.157801,-0.891164,9.68085,0.415811,-0.811124,-0.15775,65912
-0.0106592,-1.04965,0.0790972,-0.122153,-0.8996,9.67908,0.416085,-0.822521,-0.157789,67353
-0.0103151,-0.993866,0.0871745,-0.122153,-0.8996,9.67908,0.416085,-0.822521,-0.157789,67600
-0.0103151,-0.99348,0.088552,-0.058069,-0.901365,9.70184,0.416075,-0.833693,-0.158061,68796
-0.0103151,-0.99348,0.088552,0.0176833,-0.911178,9.696,0.416136,-0.844009,-0.158516,70201
-0.0116592,-0.996114,0.0896172,0.0176833,-0.911178,9.696,0.416136,-0.844009,-0.158516,71555
-0.0113287,-0.996114,0.0896172,-0.00263099,-0.933717,9.70496,0.416264,-0.85425,-0.158472,71646
-0.0113287,-0.996114,0.0896172,-0.064554,-0.912129,9.70238,0.416272,-0.864152,-0.157798,73089
-0.0113287,-0.996114,0.0896172,-0.123556,-0.896539,9.70501,0.416253,-0.87363,-0.157221,74456
-0.0118666,-0.996324,0.091034,-0.123556,-0.896539,9.70501,0.416253,-0.87363,-0.157221,75461
-0.0118666,-0.996434,0.0903177,-0.230333,-0.899854,9.69436,0.416385,-0.883217,-0.158245,75945
-0.0118666,-0.996434,0.0903177,-0.160599,-0.898153,9.70042,0.416499,-0.891952,-0.157759,77379
-0.0118666,-0.996434,0.0903177,-0.119833,-0.900529,9.70059,0.416613,-0.900241,-0.157137,78815
-0.0115338,-0.993364,0.0912251,-0.119833,-0.900529,9.70059,0.416613,-0.900241,-0.157137,79417
-0.0116991,-0.993144,0.0899028,0.0161755,-0.919523,9.7105,0.416808,-0.907932,-0.158081,80200
-0.0116991,-0.993144,0.0899028,0.0141724,-0.932191,9.72241,0.416731,-0.915374,-0.15794,81641
-0.0116991,-0.993144,0.0899028,-0.0490259,-0.922549,9.71206,0.417056,-0.922549,-0.158306,83079
-0.0123376,-0.987662,0.0905771,-0.0490259,-0.922549,9.71206,0.417056,-0.922549,-0.158306,83360
-0.0115662,-0.987662,0.0905771,-0.171549,-0.899536,9.71866,0.416887,-0.929773,-0.156773,84494
-0.0115662,-0.987662,0.0905771,-0.290135,-0.881902,9.71812,0.416713,-0.937022,-0.157369,85980
-0.0122881,-0.987333,0.0931163,-0.290135,-0.881902,9.71812,0.416713,-0.937022,-0.157369,87289
-0.0122882,-0.987057,0.0985698,-0.26315,-0.912794,9.71162,0.4168,-0.94384,-0.157685,87419
-0.0122882,-0.987057,0.0985698,-0.21307,-0.908221,9.72424,0.416653,-0.950245,-0.157439,88829
-0.0122882,-0.987057,0.0985698,-0.0237281,-0.915699,9.72554,0.416779,-0.9557,-0.1586,90268
