ax,ay,az,fx,fy,fz,tx,ty,tz,t
1.00071e-311,1.0007e-311,0,0,0,0,0,0,0,0
-2.21388,7.90649e-06,-2.05069e-05,-1.1007,-0.658506,1.60388,-3.24229e-07,-0.0907867,-0.154466,0
-4.42776,1.5813e-05,-4.10138e-05,-1.35032,-0.849302,3.75842,-6.48459e-07,-0.181573,-0.158425,1406
-6.64164,2.37195e-05,-6.15207e-05,-1.39615,-0.88762,5.6426,-9.72688e-07,-0.27236,-0.158364,2863
-8.85551,3.1626e-05,-8.20276e-05,-1.39906,-0.904793,7.01268,-1.29692e-06,-0.363147,-0.158521,4309
-11.0694,3.95324e-05,-0.000102534,-1.39865,-0.916216,7.94491,-1.62115e-06,-0.453934,-0.158647,5725
-13.2833,4.74389e-05,-0.000123041,-1.39643,-0.906232,8.55785,-1.94538e-06,-0.54472,-0.15852,7162
-2.58843,-0.936896,0.0596842,-3.45976,-0.906225,8.55783,-2.26961e-06,-0.635507,-0.15852,8416
-4.80231,-0.936888,0.0596637,-1.63659,-0.912286,9.04024,-2.59383e-06,-0.726294,-0.158638,8600
-4.80231,-0.936888,0.0596635,-0.649165,-0.909595,9.28521,-2.59928e-06,-0.726294,-0.15813,10035
-4.80231,-0.936887,0.0596634,-0.298227,-0.898492,9.42969,-2.60473e-06,-0.726294,-0.157446,11450
-1.03274,-0.987408,0.0791313,-0.298227,-0.898492,9.42969,-2.61018e-06,-0.726294,-0.157446,12409
-1.03274,-0.987408,0.0791311,-0.127616,-0.921424,9.53908,-2.61562e-06,-0.726294,-0.158997,12893
-1.03274,-0.987408,0.079131,-0.082619,-0.915832,9.59784,-2.62107e-06,-0.726294,-0.158356,14299
-1.03274,-0.987407,0.0791309,-0.075799,-0.906507,9.62943,-2.62652e-06,-0.726294,-0.158207,15762
-0.23211,-0.995934,0.0881929,-0.075799,-0.906507,9.62943,-2.63197e-06,-0.726294,-0.158207,16321
-0.23211,-0.995934,0.0881928,-0.0759008,-0.908347,9.6634,-2.63741e-06,-0.726294,-0.157405,17179
-0.23211,-0.995934,0.0881926,-0.0862496,-0.901164,9.66838,-2.64286e-06,-0.726294,-0.158053,18611
-0.23211,-0.995933,0.0881925,-0.0848419,-0.891939,9.67693,-2.64831e-06,-0.726294,-0.157934,20033
-0.0581893,-0.996741,0.0913396,-0.0848419,-0.891939,9.67693,-2.64069e-06,-0.726294,-0.157934,20291
-0.0581893,-0.996742,0.0913401,-0.0810283,-0.899129,9.68644,-2.63306e-06,-0.726294,-0.158196,21483
-0.0581893,-0.996742,0.0913407,-0.103952,-0.913871,9.70313,-2.62544e-06,-0.726294,-0.158248,22917
-0.0277265,-0.996601,0.0874443,-0.103952,-0.913871,9.70313,-2.61782e-06,-0.726294,-0.158248,24241
-0.0277265,-0.996601,0.0874448,-0.0986442,-0.913776,9.71504,-2.6102e-06,-0.726294,-0.157764,24324
-0.0277265,-0.996601,0.0874454,-0.105106,-0.908567,9.7118,-2.60258e-06,-0.726294,-0.158152,25754
-0.0277265,-0.996602,0.0874459,-0.107509,-0.89602,9.71272,-2.59496e-06,-0.726294,-0.158153,27234
-0.0195895,-0.99327,0.0883658,-0.107509,-0.89602,9.71272,-2.58733e-06,-0.726294,-0.158153,28165
-0.0195895,-0.99327,0.0883663,-0.101718,-0.905456,9.72322,-2.57971e-06,-0.726294,-0.15814,28639
-0.0195895,-0.99327,0.0883668,-0.10663,-0.907057,9.71708,-2.57209e-06,-0.726294,-0.157769,30083
-0.0195895,-0.99327,0.0883664,-0.110372,-0.908164,9.72186,-2.58623e-06,-0.726294,-0.157872,31530
-0.0130301,-0.992953,0.0886926,-0.110372,-0.908164,9.72186,-2.60036e-06,-0.726294,-0.157872,32110
-0.0130301,-0.992953,0.0886922,-0.106939,-0.909269,9.71907,-2.6145e-06,-0.726294,-0.1575,32981
-0.0130301,-0.992952,0.0886918,-0.108195,-0.914324,9.72652,-2.62864e-06,-0.726294,-0.157475,34346
-0.0130301,-0.992952,0.0886914,-0.116419,-0.902168,9.71925,-2.64277e-06,-0.726294,-0.158138,35805
-0.011043,-0.992481,0.0892835,-0.116419,-0.902168,9.71925,-2.65691e-06,-0.726294,-0.158138,36125
-0.011043,-0.992481,0.0892831,-0.102752,-0.904658,9.72078,-2.67105e-06,-0.726294,-0.157632,37274
-0.011043,-0.992481,0.0892827,-0.0965567,-0.903059,9.72456,-2.68518e-06,-0.726294,-0.157494,38717
-0.0106367,-0.998029,0.0952913,-0.0965567,-0.903059,9.72456,-2.69932e-06,-0.726294,-0.157494,40073
-0.0106367,-0.998028,0.0952909,-0.0997912,-0.904362,9.72017,-2.71346e-06,-0.726294,-0.157877,40172
-0.0106367,-0.998028,0.0952903,-0.108322,-0.90364,9.71804,-2.71781e-06,-0.726294,-0.158019,41565
-0.0106367,-0.998028,0.0952896,-0.101455,-0.905571,9.71692,-2.72217e-06,-0.726294,-0.157637,43005
-0.0147335,-0.998708,0.0977686,-0.101455,-0.905571,9.71692,-2.72653e-06,-0.726294,-0.157637,44069
-0.0147335,-0.998708,0.0977679,-0.0947786,-0.899122,9.71273,-2.73089e-06,-0.726294,-0.157647,44430
-0.0147335,-0.998707,0.0977673,-0.100777,-0.895991,9.71639,-2.73525e-06,-0.726294,-0.157878,45852
-0.0147335,-0.998707,0.0977666,-0.075209,-0.903104,9.70714,-2.73961e-06,-0.726294,-0.157949,47267
-0.00719515,-1.00164,0.0946723,-0.075209,-0.903104,9.70714,-2.74397e-06,-0.726294,-0.157949,47954
-0.00719515,-1.00164,0.0946716,-0.0788028,-0.893168,9.70721,-2.74832e-06,-0.726294,-0.157659,48733
-0.00719515,-1.00164,0.0946709,-0.0551883,-0.905113,9.69472,-2.75268e-06,-0.726294,-0.158347,50171
-0.00719515,-1.00164,0.0946713,-0.0443187,-0.896604,9.70175,-2.75376e-06,-0.726294,-0.158083,51615
-0.00557205,-1.00104,0.0918419,-0.0443187,-0.896604,9.70175,-2.75484e-06,-0.726294,-0.158083,51892
-0.00557205,-1.00104,0.0918423,-0.0443055,-0.916721,9.6933,-2.75592e-06,-0.726294,-0.158614,53026
-0.00557205,-1.00104,0.0918427,-0.0709018,-0.896668,9.69865,-2.75699e-06,-0.726294,-0.157674,54441
-0.00724259,-1.00099,0.0909202,-0.0709018,-0.896668,9.69865,-2.75807e-06,-0.726294,-0.157674,55809
-0.00724259,-1.00099,0.0909206,-0.0976331,-0.886317,9.68898,-2.75915e-06,-0.726294,-0.157945,55903
-0.00724259,-1.00099,0.090921,-0.0819572,-0.895311,9.69616,-2.76023e-06,-0.726294,-0.157531,57336
