ax,ay,az,fx,fy,fz,tx,ty,tz,t
-3.68519e-06,-1.03187,3.79027e-06,-3.43569e-06,-0.962011,3.53366e-06,0.0422311,-1.51812e-07,-0.000269291,0
-7.37038e-06,-2.06375,7.58055e-06,-0.000752764,-1.86739,0.044821,0.0931666,-0.00220744,-0.156889,1406
-1.10556e-05,-3.09562,1.13708e-05,-0.00225234,-2.62732,0.135164,0.149872,-0.00667685,-0.158351,2863
-1.47408e-05,-4.12749,1.51611e-05,-0.00375543,-3.20903,0.268179,0.208514,-0.0133417,-0.158526,4309
-1.84259e-05,-5.15936,1.89514e-05,-0.00553458,-3.62597,0.440318,0.265831,-0.0220918,-0.158651,5725
-2.21111e-05,-6.19124,2.27416e-05,-0.00720913,-3.90386,0.648434,0.319611,-0.0328689,-0.158521,7162
-2.57963e-05,-7.22311,2.65319e-05,-0.00890251,-4.08539,0.888472,0.368307,-0.0455688,-0.158641,8600
-2.58582e-05,-7.22311,2.65319e-05,-0.0118636,-3.43446,1.15533,0.37437,-0.0600862,-0.158123,10035
-2.59201e-05,-7.22311,2.65319e-05,-0.0182239,-2.90355,1.44392,0.38008,-0.0762507,-0.157437,11450
0.127933,-4.96302,0.000779766,-0.0182239,-2.90355,1.44392,0.38008,-0.0762507,-0.157437,12409
0.127932,-4.96302,0.000779766,-0.0228501,-2.4834,1.7504,0.385077,-0.093945,-0.159,12893
0.127932,-4.96302,0.000779766,-0.0267807,-2.14838,2.06941,0.38966,-0.112964,-0.158348,14299
0.127932,-4.96302,0.000779766,-0.0324368,-1.87997,2.3974,0.393639,-0.133247,-0.158204,15762
0.257687,-3.39367,0.00165611,-0.0324368,-1.87997,2.3974,0.393639,-0.133247,-0.158204,16321
0.257687,-3.39367,0.00165611,-0.038058,-1.67038,2.73068,0.397105,-0.154612,-0.157403,17179
0.257687,-3.39367,0.00165611,-0.0452145,-1.50358,3.0635,0.40011,-0.17687,-0.158061,18611
0.257687,-3.39367,0.00165611,-0.0503356,-1.37069,3.39487,0.402634,-0.19988,-0.157932,20033
0.379165,-2.30579,0.00241414,-0.0503355,-1.37069,3.39487,0.402634,-0.19988,-0.157932,20291
0.379165,-2.30579,0.00241414,-0.0542246,-1.26862,3.72234,0.404808,-0.223547,-0.158196,21483
0.379165,-2.30579,0.00241414,-0.0628173,-1.19256,4.04463,0.40677,-0.247641,-0.158248,22917
0.486932,-1.55885,0.00384229,-0.0628172,-1.19256,4.04463,0.40677,-0.247641,-0.158248,24241
0.486932,-1.55885,0.00384229,-0.0673465,-1.13223,4.35788,0.408339,-0.2721,-0.157763,24324
0.486932,-1.55885,0.00384229,-0.0729894,-1.08346,4.65983,0.409687,-0.296741,-0.158157,25754
0.486932,-1.55885,0.00384229,-0.0778994,-1.04177,4.95199,0.410832,-0.321533,-0.158153,27234
0.57863,-1.04445,0.00524152,-0.0778993,-1.04177,4.95199,0.410832,-0.321533,-0.158153,28165
0.57863,-1.04445,0.00524152,-0.0808091,-1.01256,5.23326,0.411638,-0.346281,-0.15814,28639
0.57863,-1.04445,0.00524152,-0.0847403,-0.98974,5.50065,0.412524,-0.37091,-0.157764,30083
0.57863,-1.04445,0.00524152,-0.0885731,-0.972067,5.75711,0.413174,-0.395392,-0.157873,31530
0.655624,-0.690363,0.00590131,-0.0885733,-0.972067,5.75711,0.413174,-0.395392,-0.157873,32110
0.655624,-0.690363,0.00590131,-0.0908895,-0.95843,6.00024,0.413824,-0.419596,-0.1575,32981
0.655623,-0.690363,0.00590131,-0.0933474,-0.949237,6.23147,0.414293,-0.443418,-0.157474,34346
0.655623,-0.690363,0.00590131,-0.0972309,-0.938224,6.44875,0.41476,-0.466858,-0.158147,35805
0.71943,-0.445659,0.00643238,-0.0972311,-0.938224,6.44875,0.41476,-0.466858,-0.158147,36125
0.71943,-0.445659,0.00643238,-0.0972118,-0.931003,6.65543,0.415174,-0.489856,-0.157631,37274
0.71943,-0.445659,0.00643238,-0.096596,-0.924813,6.85097,0.415494,-0.512374,-0.157492,38717
0.772864,-0.275026,0.006918,-0.0965962,-0.924813,6.85097,0.415494,-0.512374,-0.157492,40073
0.772864,-0.275026,0.006918,-0.0972169,-0.920401,7.0343,0.415764,-0.534306,-0.157878,40172
0.772864,-0.275026,0.006918,-0.0994548,-0.916723,7.20645,0.416029,-0.555748,-0.158021,41565
0.772864,-0.275026,0.006918,-0.0991118,-0.91443,7.36835,0.416212,-0.576549,-0.157632,43005
0.816432,-0.157624,0.00801586,-0.0991119,-0.91443,7.36835,0.416212,-0.576549,-0.157632,44069
0.816432,-0.157624,0.00801586,-0.0981426,-0.91087,7.51984,0.41628,-0.596779,-0.157647,44430
0.816432,-0.157624,0.00801586,-0.0990097,-0.907446,7.66291,0.416346,-0.616403,-0.157882,45852
0.816432,-0.157624,0.00801586,-0.0934771,-0.906974,7.79499,0.416406,-0.63536,-0.15795,47267
0.85224,-0.0793831,0.00765567,-0.0934772,-0.906974,7.79499,0.416406,-0.63536,-0.15795,47954
0.85224,-0.0793831,0.00765567,-0.0916744,-0.9036,7.92003,0.416555,-0.653758,-0.157658,48733
0.852239,-0.0793831,0.00765567,-0.0846811,-0.904699,8.03507,0.416438,-0.671417,-0.158356,50171
0.852239,-0.0793831,0.00765567,-0.0781803,-0.902375,8.14537,0.416468,-0.688567,-0.15808,51615
0.881025,-0.0263809,0.00733593,-0.0781803,-0.902375,8.14537,0.416468,-0.688567,-0.15808,51892
0.881025,-0.0263809,0.00733593,-0.0735543,-0.906237,8.24642,0.416344,-0.705025,-0.158615,53026
0.881025,-0.0263809,0.00733593,-0.0754426,-0.902879,8.34253,0.416337,-0.721005,-0.157662,54441
0.904261,0.0100345,0.00739679,-0.0754426,-0.902879,8.34253,0.416337,-0.721005,-0.157662,55809
0.904261,0.0100345,0.00739679,-0.0799834,-0.89889,8.43055,0.416414,-0.736511,-0.157945,55903
0.904261,0.0100345,0.00739679,-0.0789246,-0.898692,8.51489,0.416582,-0.751281,-0.157525,57336
0.904261,0.0100345,0.00739679,-0.0689921,-0.898656,8.59148,0.416405,-0.765442,-0.158657,58750
0.922898,0.0348986,0.00782696,-0.0689921,-0.898656,8.59148,0.416405,-0.765442,-0.158657,59707
0.922898,0.0348986,0.00782696,-0.0560563,-0.904424,8.66257,0.416401,-0.778857,-0.158537,60186
0.922898,0.0348986,0.00782696,-0.0504522,-0.904046,8.73008,0.416313,-0.79197,-0.158523,61625
0.922898,0.0348986,0.00782696,-0.049193,-0.907056,8.7932,0.416351,-0.804518,-0.15849,63065
0.948105,0.0521417,0.0082045,-0.049193,-0.907056,8.7932,0.416351,-0.804518,-0.15849,63670
0.948105,0.0521417,0.0082045,-0.0608752,-0.901201,8.85229,0.416473,-0.81674,-0.157259,64474
0.948105,0.0521417,0.0082045,-0.0767942,-0.899348,8.90746,0.416193,-0.828561,-0.157752,65912
0.948105,0.0521417,0.0082045,-0.080783,-0.899767,8.9585,0.416428,-0.839704,-0.15779,67353
0.956287,0.063992,0.00847108,-0.0807829,-0.899767,8.9585,0.416428,-0.839704,-0.15779,67600
0.956287,0.063992,0.00847108,-0.0753117,-0.900164,9.00914,0.416379,-0.850377,-0.15806,68796
0.956287,0.063992,0.00847108,-0.0581273,-0.902966,9.05425,0.416396,-0.860309,-0.158518,70201
0.964075,0.0721509,0.00892713,-0.0581271,-0.902966,9.05425,0.416396,-0.860309,-0.158518,71555
0.964075,0.0721509,0.00892713,-0.0513053,-0.91017,9.09798,0.416481,-0.869982,-0.158472,71646
0.964075,0.0721509,0.00892713,-0.0568027,-0.909676,9.13794,0.416456,-0.879448,-0.157795,73089
0.964075,0.0721509,0.00892713,-0.0695143,-0.906178,9.17573,0.416408,-0.88859,-0.157219,74456
0.970341,0.078204,0.00932425,-0.0695141,-0.906178,9.17573,0.416408,-0.88859,-0.157219,75461
0.970342,0.078204,0.00932425,-0.0954458,-0.904878,9.2096,0.416511,-0.897672,-0.158242,75945
0.970342,0.078204,0.00932425,-0.100201,-0.903343,9.24269,0.416609,-0.906017,-0.157757,77379
0.970342,0.078204,0.00932425,-0.100357,-0.902834,9.27315,0.416714,-0.914016,-0.157134,78815
0.97478,0.0823758,0.0096063,-0.100357,-0.902834,9.27315,0.416714,-0.914016,-0.157134,79417
0.97478,0.0823758,0.0096063,-0.0794859,-0.906888,9.30284,0.416899,-0.921222,-0.158078,80200
0.97478,0.0823758,0.0096063,-0.0668332,-0.912907,9.33163,0.416807,-0.928295,-0.157939,81641
0.974779,0.0823758,0.0096063,-0.0683145,-0.914583,9.35603,0.417141,-0.935191,-0.158307,83079
0.977215,0.0850152,0.00998007,-0.0683148,-0.914583,9.35603,0.417141,-0.935191,-0.158307,83360
0.977215,0.0850152,0.00998007,-0.0869219,-0.910786,9.38051,0.41696,-0.942021,-0.156778,84494
0.977215,0.0850152,0.00998007,-0.121836,-0.903733,9.40294,0.416769,-0.948961,-0.157372,85980
0.979176,0.0878959,0.010305,-0.121836,-0.903733,9.40294,0.416769,-0.948961,-0.157372,87289
0.979176,0.0878959,0.010305,-0.140196,-0.906441,9.42281,0.416855,-0.955329,-0.157684,87419
0.979176,0.0878959,0.010305,-0.147172,-0.906633,9.44383,0.416695,-0.961376,-0.157438,88829
0.979176,0.0878959,0.010305,-0.118564,-0.908924,9.46268,0.416823,-0.966531,-0.158605,90268
0.98545,0.0898748,0.0107478,-0.118564,-0.908924,9.46268,0.416823,-0.966531,-0.158605,91205
0.98545,0.0898748,0.0107478,-0.0928068,-0.910395,9.48342,0.417001,-0.971532,-0.157801,91709
0.98545,0.0898748,0.0107478,-0.0769826,-0.918478,9.4987,0.417235,-0.976242,-0.158327,93135
0.98545,0.0898748,0.0107478,-0.0941638,-0.91578,9.51372,0.417324,-0.981243,-0.157161,94575
0.986238,0.0914683,0.0103933,-0.0941638,-0.91578,9.51372,0.417324,-0.981243,-0.157161,95171
0.986239,0.0914683,0.0103933,-0.134268,-0.90499,9.52426,0.417042,-0.986579,-0.157405,96008
0.986239,0.0914683,0.0103933,-0.176438,-0.90572,9.53571,0.416973,-0.991765,-0.157084,97423
0.986239,0.0914683,0.0103933,-0.2112,-0.899039,9.54985,0.416642,-0.996881,-0.157457,98812
