ax,ay,az,fx,fy,fz,tx,ty,tz,t
-3.68519e-06,-1.03187,3.79027e-06,-3.43569e-06,-0.962011,3.53366e-06,0.0422311,-1.51812e-07,-0.000269291,0
-7.37038e-06,-2.06375,7.58055e-06,-0.189268,-1.81063,-0.00142846,0.0818056,-0.000800282,-0.00176026,1406
-1.10556e-05,-3.09562,1.13708e-05,-0.555143,-2.46991,-0.00416802,0.11685,-0.002419,-0.00162107,2863
-1.47408e-05,-4.12749,1.51611e-05,-1.06037,-2.92944,-0.00853935,0.146184,-0.00483017,-0.00178011,4309
-1.84259e-05,-5.15936,1.89514e-05,-1.65937,-3.22257,-0.014056,0.169685,-0.00799626,-0.00190547,5725
-2.21111e-05,-6.19124,2.27416e-05,-2.3121,-3.38633,-0.02072,0.187718,-0.0118938,-0.00177504,7162
-2.57963e-05,-7.22311,2.65319e-05,-2.98157,-3.469,-0.0282036,0.200924,-0.0164846,-0.00189451,8600
-2.58582e-05,-7.22311,2.65319e-05,-3.63979,-2.73574,-0.0367386,0.173295,-0.0217434,-0.00137723,10035
-2.59201e-05,-7.22311,2.65319e-05,-4.2674,-2.13805,-0.0459175,0.148083,-0.0276031,-0.000691037,11450
0.129073,-4.98685,0.000562042,-4.2674,-2.13805,-0.0459175,0.148083,-0.0276031,-0.000691037,12409
0.129073,-4.98685,0.000562042,-4.84916,-1.66424,-0.0554774,0.125233,-0.034011,-0.00225428,12893
0.129073,-4.98685,0.000562042,-5.37753,-1.28674,-0.0650622,0.105256,-0.0408918,-0.00160173,14299
0.129073,-4.98685,0.000562042,-5.85632,-0.984583,-0.0752454,0.0876844,-0.0482306,-0.00145842,15762
0.259979,-3.43404,0.00118508,-5.85632,-0.984583,-0.0752454,0.0876844,-0.0482306,-0.00145842,16321
0.259979,-3.43404,0.00118508,-6.28216,-0.748508,-0.084448,0.0725167,-0.0559873,-0.000657205,17179
0.259979,-3.43404,0.00118508,-6.66046,-0.560887,-0.095188,0.0594737,-0.0640575,-0.00131533,18611
0.259979,-3.43404,0.00118508,-6.99122,-0.411677,-0.105091,0.0482526,-0.0724066,-0.00118632,20033
0.382534,-2.35763,0.00166955,-6.99122,-0.411677,-0.105091,0.0482526,-0.0724066,-0.00118632,20291
0.382534,-2.35763,0.00166955,-7.28039,-0.296775,-0.114488,0.0386561,-0.0810094,-0.00145036,21483
0.382535,-2.35763,0.00166955,-7.53759,-0.210672,-0.122042,0.0305863,-0.089741,-0.00150247,22917
0.491258,-1.61857,0.00281844,-7.53759,-0.210672,-0.122042,0.0305863,-0.089741,-0.00150247,24241
0.491258,-1.61857,0.00281844,-7.75776,-0.142497,-0.129346,0.023641,-0.0986454,-0.00101701,24324
0.491258,-1.61857,0.00281844,-7.95065,-0.0875703,-0.137743,0.017748,-0.107598,-0.001411,25754
0.491258,-1.61857,0.00281844,-8.11861,-0.0410321,-0.145419,0.012712,-0.116609,-0.00140704,27234
0.583776,-1.1096,0.00394408,-8.11861,-0.0410321,-0.145419,0.012712,-0.116609,-0.00140704,28165
