ax,ay,az,fx,fy,fz,tx,ty,tz,t
7.65866e-312,7.65866e-312,0,0,0,0,0,0,0,0
0.0163094,0.00396777,0.224243,-0.0986144,0.0221655,2.66278,0.00710073,-0.00097754,-0.14604,0
0.0163094,0.00396777,0.224243,-0.149486,0.0167944,5.39124,0.0209367,-0.00413688,-0.148642,1437
0.0163094,0.00396777,0.224243,-0.155384,0.0150645,7.32372,0.0401975,-0.00884611,-0.147525,2868
0.0163094,0.00396777,0.224243,-0.162266,0.0198617,8.50298,0.0633374,-0.0150765,-0.147639,4284
0.0163094,0.00396777,0.224243,-0.176946,0.0206435,9.18103,0.0889848,-0.022778,-0.148026,5721
0.0163094,0.00396777,0.224243,-0.200482,0.00986247,9.56833,0.115546,-0.0319196,-0.148158,7177
0.0163094,0.00396777,0.224243,-0.197058,0.00624364,9.79197,0.142061,-0.0424108,-0.147764,8416
0.0163094,0.00286584,0.224243,-0.199115,0.00547362,9.91884,0.16767,-0.0541944,-0.147758,8598
0.0163094,0.00286584,0.224243,-0.196565,0.0121946,9.98415,0.19169,-0.0671993,-0.147784,10024
0.0163094,0.00286584,0.224243,-0.190249,0.0150487,10.0408,0.213909,-0.0813125,-0.147857,11483
0.0163094,0.00286584,0.224243,-0.202466,-0.00348283,10.0699,0.234145,-0.09651,-0.147739,12362
0.0154279,0.00314132,0.22226,-0.205764,-0.0133475,10.087,0.252413,-0.1127,-0.14774,12923
0.0154279,0.00314132,0.22226,-0.212209,-0.0153854,10.0941,0.26875,-0.129712,-0.148127,14359
0.0154279,0.00314132,0.22226,-0.208869,-0.00651867,10.0985,0.283304,-0.147521,-0.147627,15764
0.0154279,0.00314132,0.22226,-0.210477,-0.0135953,10.0974,0.296125,-0.165966,-0.147996,16308
0.0161441,0.00314132,0.223582,-0.210772,-0.0102104,10.0961,0.307387,-0.184973,-0.148,17208
0.0161441,0.00314132,0.223582,-0.219358,-0.00945581,10.0947,0.317253,-0.204549,-0.148134,18616
0.0161441,0.00314132,0.223582,-0.213525,-0.00869839,10.0942,0.325871,-0.224519,-0.147619,20060
0.0161441,0.00314132,0.223582,-0.209671,-0.00517323,10.0908,0.33356,-0.244855,-0.147502,20242
0.0161441,0.00424325,0.223582,-0.205338,-0.00441874,10.0889,0.340241,-0.265441,-0.1475,21493
0.0161441,0.00424325,0.223582,-0.215952,-0.00540497,10.114,0.346202,-0.286177,-0.147799,22906
0.0161441,0.00424325,0.223582,-0.22741,0.0112704,10.1119,0.351323,-0.30707,-0.14772,24183
0.0154829,0.00181901,0.222756,-0.238069,0.0108113,10.1114,0.355895,-0.328042,-0.147719,24349
0.0154829,0.00181901,0.222756,-0.218172,-0.0038028,10.1084,0.359761,-0.348922,-0.147354,25817
0.0154829,0.00181901,0.222756,-0.208723,-0.00972208,10.0996,0.363094,-0.369688,-0.147881,27252
0.0154829,0.00181901,0.222756,-0.214388,-0.00245054,10.1049,0.365988,-0.390376,-0.147476,28114
0.0170256,0.00181901,0.223692,-0.21571,0.00198238,10.1056,0.368488,-0.410828,-0.147469,28641
