ax,ay,az,fx,fy,fz,tx,ty,tz,t
8.83654e-312,8.83654e-312,0,0,0,0,0,0,0,0
-2.21388,-4.52238e-77,7.99945e-06,-2.06399,-4.2162e-77,7.45786e-06,4.0566e-10,-0.0906067,0.000112268,0
-4.42776,-9.04476e-77,1.59989e-05,-1.43311,-0.781204,3.27658,0.0114196,-0.183114,-0.147432,1437
-6.64164,-1.35671e-76,2.39984e-05,-1.03904,-0.895076,6.32724,0.0327677,-0.277118,-0.147763,2868
-8.85551,-1.80895e-76,3.19978e-05,-0.935478,-0.904222,8.15508,0.061386,-0.372204,-0.147896,4284
-11.0694,-2.26119e-76,3.99973e-05,-0.916026,-0.905407,9.12548,0.0947316,-0.467977,-0.148285,5721
-13.2833,-2.71343e-76,4.79967e-05,-0.926049,-0.916998,9.62697,0.129955,-0.56407,-0.148416,7177
-1.42025,-0.961945,0.0586085,-2.99004,-0.916998,9.62698,0.129955,-0.654677,-0.148303,8416
-3.63413,-0.961945,0.0586165,-1.45668,-0.920361,9.88464,0.164885,-0.749531,-0.148019,8598
-5.84801,-0.961945,0.0586245,-1.05811,-0.913804,10.0084,0.197973,-0.843727,-0.148042,10024
-5.84801,-0.961945,0.0586246,-0.416972,-0.911142,10.0942,0.228534,-0.84771,-0.148116,11483
-0.894849,-0.991694,0.0686957,-0.416972,-0.911142,10.0942,0.228534,-0.84771,-0.148116,12362
-0.894849,-0.991694,0.0686958,-0.270163,-0.930715,10.1342,0.255999,-0.852116,-0.147997,12923
-0.894849,-0.991693,0.0686959,-0.238868,-0.933562,10.1504,0.280269,-0.856851,-0.148385,14359
-0.894849,-0.991693,0.0686961,-0.225121,-0.924307,10.159,0.301451,-0.861905,-0.147881,15764
-0.148322,-0.985286,0.0684493,-0.225121,-0.924307,10.159,0.301451,-0.861905,-0.147881,16308
-0.148322,-0.985285,0.0684494,-0.224423,-0.932066,10.1593,0.319781,-0.867172,-0.148254,17208
-0.148322,-0.985285,0.0684495,-0.233188,-0.932839,10.1594,0.335496,-0.872696,-0.148393,18616
-0.148322,-0.985285,0.0684496,-0.226226,-0.932276,10.1598,0.348959,-0.878386,-0.147874,20060
-0.0344718,-0.990386,0.0707082,-0.226226,-0.932276,10.1598,0.348959,-0.878386,-0.147874,20242
-0.0344718,-0.990386,0.0707075,-0.222256,-0.928647,10.1565,0.360637,-0.884264,-0.147759,21493
-0.0344718,-0.990386,0.0707068,-0.23417,-0.929171,10.1845,0.370677,-0.890223,-0.148058,22906
-0.0211929,-0.990702,0.0713121,-0.23417,-0.929171,10.1845,0.370677,-0.890223,-0.148058,24183
-0.0211929,-0.990703,0.0713114,-0.246075,-0.911599,10.1802,0.379143,-0.896323,-0.147977,24349
-0.0211929,-0.990703,0.0713107,-0.22406,-0.925031,10.1743,0.386323,-0.902434,-0.14761,25817
-0.0211929,-0.990703,0.0713101,-0.215031,-0.930359,10.1634,0.392371,-0.908526,-0.148141,27252
-0.0100668,-0.987287,0.0693279,-0.215031,-0.930359,10.1634,0.392371,-0.908526,-0.148141,28114
-0.0100668,-0.987288,0.0693273,-0.222018,-0.922423,10.1694,0.397466,-0.914658,-0.147731,28641
-0.0100668,-0.987288,0.0693266,-0.236835,-0.933882,10.1612,0.401908,-0.92076,-0.148126,30084
-0.0100668,-0.987288,0.0693273,-0.237705,-0.932954,10.1684,0.405714,-0.926826,-0.14798,31513
-0.00836181,-0.99097,0.0738129,-0.237705,-0.932954,10.1684,0.405714,-0.926826,-0.14798,32089
-0.00836181,-0.99097,0.0738136,-0.221517,-0.937168,10.1642,0.408794,-0.932772,-0.148136,32949
-0.00836181,-0.99097,0.0738142,-0.205625,-0.913662,10.1916,0.411551,-0.938607,-0.148471,34366
-0.00836181,-0.990969,0.0738149,-0.2133,-0.930144,10.1721,0.413751,-0.944379,-0.148282,35805
-0.013064,-0.991196,0.075004,-0.2133,-0.930143,10.1721,0.413751,-0.944379,-0.148282,36006
-0.013064,-0.991196,0.0750047,-0.209745,-0.919789,10.1703,0.415676,-0.950041,-0.147484,37241
-0.013064,-0.991196,0.0750054,-0.211049,-0.919439,10.1615,0.417206,-0.955615,-0.148022,38682
-0.0139922,-0.992813,0.0688906,-0.211049,-0.919439,10.1615,0.417206,-0.955615,-0.148022,39928
-0.0139922,-0.992813,0.0688913,-0.231147,-0.926857,10.1537,0.41866,-0.961071,-0.14775,40114
-0.0139922,-0.992813,0.0688913,-0.201095,-0.937149,10.1451,0.419793,-0.96633,-0.148574,41535
-0.0139922,-0.992813,0.0688913,-0.175565,-0.919769,10.152,0.420891,-0.971387,-0.148433,42981
-0.0141346,-0.991081,0.0686803,-0.175565,-0.919769,10.152,0.420891,-0.971387,-0.148433,43882
-0.0141346,-0.991081,0.0686803,-0.183819,-0.934923,10.1483,0.421653,-0.97634,-0.148048,44411
-0.0141346,-0.991081,0.0686803,-0.177309,-0.915272,10.1463,0.422409,-0.981092,-0.148173,45850
-0.0141346,-0.991081,0.0686803,-0.189918,-0.924974,10.138,0.422826,-0.985765,-0.147929,47265
-0.0133286,-0.990974,0.068624,-0.189918,-0.924974,10.138,0.422826,-0.985765,-0.147929,47833
-0.0133286,-0.990974,0.068624,-0.166949,-0.9181,10.145,0.423527,-0.990248,-0.148052,48725
-0.0133286,-0.990974,0.0686235,-0.190841,-0.931904,10.1449,0.423862,-0.994614,-0.147904,50134
-0.0133286,-0.990973,0.0686229,-0.209573,-0.928806,10.1411,0.424159,-0.998832,-0.148026,51565
-0.0121705,-0.986614,0.0698623,-0.209573,-0.928806,10.1411,0.424159,-0.998832,-0.148026,51801
-0.0121705,-0.986614,0.0698618,-0.199072,-0.910919,10.1352,0.424443,-1.00286,-0.148046,53001
-0.0121705,-0.986613,0.0698613,-0.17814,-0.892348,10.1511,0.424747,-1.00675,-0.147766,54415
-0.0119946,-0.986346,0.0705496,-0.17814,-0.892348,10.1511,0.424747,-1.00675,-0.147766,55743
-0.0119946,-0.986345,0.070549,-0.138221,-0.898053,10.1544,0.425011,-1.01033,-0.148696,55862
-0.0119946,-0.986345,0.0705485,-0.158835,-0.906441,10.1643,0.425162,-1.01392,-0.148288,57331
-0.0119946,-0.986344,0.070548,-0.17706,-0.918896,10.151,0.425369,-1.0174,-0.147922,58736
-0.0181677,-0.988389,0.0707328,-0.17706,-0.918895,10.151,0.425369,-1.0174,-0.147922,59657
-0.0181677,-0.98839,0.0707326,-0.218613,-0.921428,10.1559,0.425419,-1.02082,-0.147339,60156
-0.0181677,-0.988391,0.0707323,-0.256686,-0.903853,10.1508,0.42544,-1.02434,-0.147884,61600
-0.0181677,-0.988392,0.070732,-0.189641,-0.903542,10.1701,0.4256,-1.02737,-0.147996,63036
-0.0174608,-0.991495,0.0655901,-0.189641,-0.903543,10.1701,0.4256,-1.02737,-0.147996,63620
-0.0174608,-0.991496,0.0655898,-0.168082,-0.916962,10.1719,0.425572,-1.03033,-0.148555,64447
-0.0174608,-0.991497,0.0655895,-0.114297,-0.91532,10.1803,0.425742,-1.03288,-0.148156,65895
-0.0174608,-0.991498,0.0655893,-0.186622,-0.919808,10.1778,0.425733,-1.03567,-0.147997,67324
-0.0173533,-0.991687,0.0651142,-0.186622,-0.919809,10.1778,0.425733,-1.03567,-0.147997,67573
-0.0173533,-0.991687,0.065114,-0.211905,-0.915672,10.1727,0.425805,-1.03836,-0.148127,68782
-0.0173533,-0.991688,0.0651137,-0.257382,-0.904321,10.1708,0.425564,-1.04104,-0.147317,70204
-0.0163032,-0.990095,0.0649819,-0.257382,-0.90432,10.1708,0.425564,-1.04104,-0.147317,71500
-0.0163032,-0.990095,0.0649607,-0.278925,-0.893761,10.185,0.425484,-1.04371,-0.14728,71632
-0.0163032,-0.990094,0.0649394,-0.235656,-0.933336,10.1764,0.42565,-1.04607,-0.148253,73058
-0.0163032,-0.990093,0.0649182,-0.193418,-0.915318,10.1945,0.425765,-1.04829,-0.14785,74488
-0.0146943,-0.987935,0.0704747,-0.193418,-0.915317,10.1945,0.425765,-1.04829,-0.14785,75443
-0.0146943,-0.987935,0.0704535,-0.11819,-0.921749,10.1881,0.425991,-1.05009,-0.148159,75926
-0.0146943,-0.987934,0.0704323,-0.178511,-0.912073,10.189,0.425994,-1.0521,-0.14811,77343
-0.0146943,-0.987933,0.0704111,-0.234319,-0.90677,10.1675,0.425948,-1.05419,-0.147879,78781
-0.0144486,-0.987802,0.0669352,-0.234319,-0.906769,10.1675,0.425948,-1.05419,-0.147879,79381
-0.0144486,-0.987801,0.0669359,-0.29882,-0.90231,10.1759,0.425933,-1.05627,-0.147396,80218
-0.0144486,-0.987801,0.0669365,-0.342855,-0.901708,10.1767,0.425895,-1.05848,-0.147404,81653
-0.0144486,-0.987801,0.0669372,-0.280911,-0.935219,10.1954,0.426073,-1.06022,-0.147517,83075
-0.0175226,-1.00522,0.0660077,-0.280911,-0.935218,10.1954,0.426073,-1.06022,-0.147517,83411
-0.0175226,-1.00522,0.0660084,-0.224128,-0.947266,10.1897,0.426196,-1.0619,-0.147602,84505
-0.0175226,-1.00522,0.066009,-0.09485,-0.941248,10.1927,0.426416,-1.06306,-0.148561,85947
-0.0146773,-0.990484,0.0673712,-0.09485,-0.941248,10.1927,0.426416,-1.06306,-0.148561,87313
-0.0146773,-0.990484,0.0673719,-0.129055,-0.91577,10.1947,0.426338,-1.06436,-0.148263,87387
-0.0146773,-0.990484,0.0673725,-0.217227,-0.905311,10.1776,0.426076,-1.06592,-0.148132,88803
-0.0146773,-0.990483,0.0673732,-0.314299,-0.910025,10.1628,0.426197,-1.06749,-0.14715,90241
-0.0142387,-0.989562,0.0680971,-0.314299,-0.910026,10.1628,0.426197,-1.06749,-0.14715,91289
-0.0142387,-0.989563,0.0680981,-0.417637,-0.894068,10.178,0.426058,-1.06952,-0.147487,91672
-0.0142387,-0.989564,0.068099,-0.316817,-0.920066,10.1847,0.425977,-1.07081,-0.147527,93152
-0.0142387,-0.989564,0.0680999,-0.209492,-0.95951,10.1807,0.426416,-1.07202,-0.147636,94614
-0.0129325,-1.00438,0.06829,-0.209492,-0.959511,10.1807,0.426416,-1.07202,-0.147636,95196
-0.0129325,-1.00438,0.0682909,-0.0422182,-0.924514,10.1798,0.426559,-1.07253,-0.148993,96004
-0.0129325,-1.00439,0.0682918,-0.046889,-0.91725,10.2031,0.426366,-1.07321,-0.147629,97445
-0.0129325,-1.00439,0.0682928,-0.139921,-0.936382,10.1705,0.426621,-1.07419,-0.148442,98859
-0.0133521,-0.986301,0.0688784,-0.139921,-0.936383,10.1705,0.426621,-1.07419,-0.148442,99139
-0.0133521,-0.9863,0.0688789,-0.308179,-0.885092,10.166,0.426422,-1.07541,-0.14778,100281
-0.0133521,-0.9863,0.0688795,-0.492629,-0.873088,10.1725,0.426006,-1.07742,-0.147476,101729
-0.0134161,-0.985181,0.0724314,-0.492629,-0.873088,10.1725,0.426006,-1.07742,-0.147476,103067
-0.0134161,-0.985181,0.0724319,-0.358604,-0.950593,10.1447,0.42647,-1.07836,-0.148101,103140
-0.0134161,-0.985181,0.0724324,-0.242777,-0.939309,10.1638,0.426318,-1.07929,-0.14749,104572
-0.0134161,-0.98518,0.072433,0.0194677,-0.937353,10.1749,0.426491,-1.07931,-0.148776,106033
-0.0132191,-0.989692,0.073384,0.0194677,-0.937353,10.1749,0.426491,-1.07931,-0.148776,107014
-0.0132191,-0.989692,0.0733845,0.0376798,-0.955588,10.1739,0.426814,-1.07945,-0.148245,107432
-0.0132191,-0.989692,0.073385,-0.0776731,-0.945209,10.1513,0.426946,-1.07997,-0.148736,108860
-0.0132191,-0.989692,0.0733632,-0.313972,-0.912994,10.1112,0.426577,-1.08092,-0.147986,110301
-0.0177393,-1.00692,0.0652207,-0.313972,-0.912994,10.1112,0.426577,-1.08092,-0.147986,110952
-0.0177393,-1.00692,0.0651989,-0.630035,-0.879295,10.0963,0.426068,-1.08302,-0.148135,111732
-0.0177393,-1.00692,0.065177,-0.693516,-0.925331,10.0851,0.426195,-1.08451,-0.147937,113175
-0.0177393,-1.00692,0.0651551,-0.731792,-0.891705,10.1365,0.425925,-1.08647,-0.147096,114619
-0.0184296,-1.00799,0.0210468,-0.731792,-0.891705,10.1365,0.425925,-1.08647,-0.147096,114868
-0.0184296,-1.00799,0.0210249,-0.345911,-0.943972,10.1433,0.425964,-1.08688,-0.149177,116028
-0.0184296,-1.00799,0.021003,-0.0961192,-0.997321,10.1772,0.427,-1.08671,-0.148419,117477
-0.0133668,-0.963174,0.0549501,-0.0961192,-0.997321,10.1771,0.427,-1.08671,-0.148419,118795
-0.0133668,-0.963174,0.0549282,-0.0465732,-0.889201,10.17,0.426006,-1.0868,-0.149028,118907
-0.0133668,-0.963174,0.0548426,-0.134491,-0.980725,10.1455,0.426949,-1.08673,-0.14944,120322
-0.0133668,-0.963173,0.054757,-0.632331,-0.913968,10.1303,0.426646,-1.08892,-0.147202,121759
-0.0289426,-1.04676,0.0672162,-0.632331,-0.913968,10.1302,0.426646,-1.08892,-0.147202,122757
-0.0289426,-1.04676,0.0671306,-0.720026,-0.811616,10.1382,0.425162,-1.0901,-0.148079,123194
-0.0289426,-1.04676,0.0670449,-0.967297,-0.94175,10.139,0.426056,-1.09264,-0.148065,124634
-0.0289426,-1.04676,0.0669593,-0.571919,-0.915084,10.1407,0.425828,-1.09323,-0.150383,126050
-0.0313085,-1.05191,0.0704601,-0.571919,-0.915083,10.1406,0.425828,-1.09323,-0.150383,126662
-0.0313085,-1.05191,0.0703744,-0.263056,-0.882063,10.2016,0.425741,-1.0932,-0.148325,127484
-0.0313085,-1.05191,0.0702888,-0.0484127,-0.949331,10.1829,0.426114,-1.09293,-0.149446,128931
-0.0313085,-1.05191,0.0701366,0.0954166,-0.948873,10.1832,0.426354,-1.09172,-0.1495,130374
-0.019046,-0.972729,0.0714784,0.0954166,-0.948873,10.1831,0.426354,-1.09171,-0.1495,130626
-0.019046,-0.972729,0.0713262,-0.512274,-0.877119,10.1824,0.426263,-1.09349,-0.147425,131775
-0.019046,-0.97273,0.071174,-0.706316,-0.826031,10.1757,0.425139,-1.09446,-0.148816,133215
-0.017183,-1.06287,0.0678221,-0.706316,-0.826031,10.1755,0.425139,-1.09446,-0.148816,134547
-0.017183,-1.06287,0.0676699,-1.05283,-0.914291,10.1995,0.425353,-1.09713,-0.147677,134646
-0.017183,-1.06287,0.0675177,-0.702564,-0.969016,10.1661,0.426084,-1.09815,-0.149974,136085
-0.017183,-1.06287,0.0673655,-0.224029,-0.864673,10.2432,0.425554,-1.09754,-0.148414,137501
-0.0222741,-1.06848,0.0668011,-0.224029,-0.864674,10.243,0.425554,-1.09754,-0.148414,138481
-0.0222741,-1.06848,0.0666489,0.0616453,-1.01493,10.1923,0.426454,-1.09684,-0.149942,138940
-0.0222741,-1.06848,0.0664341,0.260187,-1.08683,10.1171,0.428308,-1.09486,-0.14971,140385
-0.0222741,-1.06848,0.0662194,-0.43568,-0.74275,10.1728,0.425709,-1.09626,-0.147126,141813
-0.007954,-0.971495,0.0709488,-0.43568,-0.74275,10.1726,0.425709,-1.09626,-0.147126,142420
-0.007954,-0.971495,0.070734,-0.760314,-0.868274,10.1306,0.425604,-1.09737,-0.149115,143254
-0.007954,-0.971495,0.0705193,-1.20752,-0.951951,10.1519,0.426425,-1.10028,-0.147757,144689
-0.007954,-0.971494,0.0703045,-1.01222,-0.807504,10.2197,0.424367,-1.10237,-0.150758,146130
-0.00576419,-1.01886,0.0734759,-1.01222,-0.807504,10.2195,0.424367,-1.10237,-0.150758,146381
-0.00576419,-1.01886,0.0732611,-0.317693,-1.05086,10.2055,0.426524,-1.10144,-0.148376,147578
-0.00576419,-1.01886,0.0730463,0.0115961,-1.03519,10.2113,0.427157,-1.10084,-0.149356,148966
-0.0013039,-1.02177,0.0742011,0.0115961,-1.03519,10.2111,0.427157,-1.10084,-0.149356,150256
-0.0013039,-1.02177,0.0738996,0.511895,-0.991879,10.1375,0.427284,-1.09785,-0.151035,150410
-0.0013039,-1.02177,0.073598,-0.174243,-0.878832,10.0899,0.426782,-1.0983,-0.146905,151870
-0.0013039,-1.02177,0.0732964,-0.663009,-0.769669,10.0604,0.424699,-1.09933,-0.149616,153285
