ax,ay,az,fx,fy,fz,tx,ty,tz,t
9.43995e-312,9.43995e-312,0,0,0,0,0,0,0,0
-2.21388,-4.24648e-07,-0.000158869,-2.06399,-3.95898e-07,-0.000148113,9.32301e-09,-0.0906066,0.000112268,0
-4.42776,-8.49297e-07,-0.000317739,-4.04303,-0.0547111,0.0475848,0.00011784,-0.181232,-0.0731088,1436
-6.64164,-1.27395e-06,-0.000476608,-5.85945,-0.151762,0.142531,0.000355435,-0.271873,-0.11806,2897
-8.85551,-1.69859e-06,-0.000635478,-7.46222,-0.269521,0.281983,0.000709947,-0.362526,-0.13646,4324
-11.0694,-2.12324e-06,-0.000794347,-8.82579,-0.387281,0.461927,0.00118019,-0.453186,-0.143413,5749
-13.2833,-2.54789e-06,-0.000953217,-9.94785,-0.493622,0.679607,0.00176497,-0.54385,-0.146491,7180
-14.0857,-0.229419,0.002035,-12.0118,-0.493622,0.679459,0.00176498,-0.634457,-0.146379,8416
-16.2996,-0.229419,0.00187613,-12.7082,-0.591312,0.92926,0.00246439,-0.72511,-0.147475,8598
-16.2996,-0.229419,0.00186087,-11.3656,-0.665493,1.2082,0.00327598,-0.725164,-0.148165,10023
-16.2996,-0.229419,0.00184562,-10.0966,-0.712337,1.51272,0.00418584,-0.725225,-0.148279,11448
-14.328,-0.435013,0.00603486,-10.0966,-0.712338,1.51271,0.00418585,-0.725225,-0.148279,12322
-14.328,-0.435013,0.0060196,-8.92748,-0.784989,1.83483,0.00524191,-0.725296,-0.148723,12886
-14.328,-0.435013,0.00600435,-7.85895,-0.826375,2.17098,0.00639185,-0.725374,-0.148977,14319
-14.328,-0.435013,0.00598909,-6.88621,-0.847997,2.5167,0.00763539,-0.725458,-0.148682,15738
-12.2694,-0.596189,0.0109385,-6.88621,-0.847997,2.51669,0.0076354,-0.725458,-0.148682,16259
-12.2694,-0.596189,0.0109232,-6.01435,-0.893768,2.85793,0.00902828,-0.72555,-0.148637,17180
-12.2694,-0.596189,0.0109079,-5.24865,-0.868269,3.20988,0.0104712,-0.72565,-0.148241,18627
-12.2694,-0.596188,0.0108977,-4.5928,-0.853926,3.55732,0.0119973,-0.725759,-0.147684,20055
-10.3038,-0.714344,0.0162936,-4.5928,-0.853925,3.55731,0.0119973,-0.725759,-0.147684,20222
-10.3038,-0.714344,0.0162833,-4.02741,-0.910608,3.90058,0.0137244,-0.725876,-0.148548,21492
-10.3038,-0.714343,0.0162731,-3.53204,-0.911072,4.24072,0.0154766,-0.726002,-0.14838,22912
-8.53269,-0.799797,0.0211497,-3.53204,-0.911072,4.24071,0.0154766,-0.726002,-0.14838,24189
-8.53269,-0.799796,0.0211394,-3.08592,-0.938859,4.57137,0.0173744,-0.726133,-0.14809,24363
-8.53269,-0.799795,0.0211292,-2.69586,-0.952051,4.88465,0.0193576,-0.726271,-0.148237,25808
-8.53269,-0.799795,0.021119,-2.37008,-0.908682,5.18708,0.0213463,-0.726419,-0.148518,27241
-7.00417,-0.858133,0.0266671,-2.37008,-0.908682,5.18707,0.0213462,-0.726419,-0.148518,28085
-7.00417,-0.858133,0.0266568,-2.10014,-0.910853,5.47763,0.0234919,-0.726576,-0.147931,28643
-7.00417,-0.858133,0.0265992,-1.85878,-0.904229,5.75627,0.0256966,-0.726739,-0.147955,30076
-7.00417,-0.858133,0.0265415,-1.63993,-0.921506,6.02355,0.0280233,-0.72691,-0.147905,31518
-5.71375,-0.898558,0.0318118,-1.63993,-0.921506,6.0235,0.0280233,-0.72691,-0.147905,32020
