ax,ay,az,fx,fy,fz,tx,ty,tz,t
8.44305e-312,8.44306e-312,0,0,0,0,0,0,0,0
-2.21388,7.90649e-06,-2.05069e-05,-2.06399,7.37119e-06,-1.91185e-05,-3.24626e-07,-0.0906067,0.00011227,0
-4.42776,1.5813e-05,-4.10138e-05,-4.04299,-0.0506262,0.0447759,0.000111501,-0.181232,-0.0774881,1406
-6.64164,2.37195e-05,-6.15207e-05,-5.85814,-0.139473,0.135097,0.000339934,-0.271872,-0.125751,2863
-8.85551,3.1626e-05,-8.20276e-05,-7.45557,-0.24884,0.26809,0.000682661,-0.362524,-0.145797,4309
-11.0694,3.95324e-05,-0.000102534,-8.81271,-0.361298,0.440208,0.0011375,-0.453183,-0.153622,5725
-13.2833,4.74389e-05,-0.000123041,-9.92482,-0.461901,0.648306,0.0017066,-0.543846,-0.156586,7162
-14.0847,-0.232442,0.00346555,-11.9888,-0.461894,0.648286,0.00170627,-0.634452,-0.156473,8416
-16.2986,-0.232435,0.00344505,-12.6694,-0.551031,0.888306,0.00238778,-0.725104,-0.157761,8600
-16.2986,-0.232434,0.00344491,-11.3132,-0.624343,1.15517,0.0031799,-0.725156,-0.15798,10035
-16.2986,-0.232434,0.00344478,-10.0309,-0.680954,1.44376,0.004083,-0.725216,-0.157643,11450
-14.3134,-0.440461,0.00841839,-10.0309,-0.680954,1.44376,0.004083,-0.725216,-0.157643,12409
-14.3134,-0.440461,0.00841826,-8.83841,-0.732868,1.75025,0.00509344,-0.725283,-0.158487,12893
-14.3134,-0.44046,0.00841812,-7.75452,-0.771574,2.06926,0.00621261,-0.725357,-0.158398,14299
-14.3134,-0.44046,0.00841799,-6.77879,-0.80006,2.39727,0.00743958,-0.725439,-0.158278,15762
-12.2507,-0.603539,0.0145263,-6.77879,-0.80006,2.39727,0.00743958,-0.725439,-0.158278,16321
-12.2507,-0.603539,0.0145261,-5.91277,-0.823495,2.73055,0.00877048,-0.725529,-0.157737,17179
-12.2507,-0.603539,0.014526,-5.15009,-0.83983,3.06338,0.0102047,-0.725626,-0.15794,18611
-12.2507,-0.603539,0.0145259,-4.47975,-0.850494,3.39475,0.0117379,-0.725731,-0.157935,20033
-10.2828,-0.722993,0.0211674,-4.47975,-0.850494,3.39475,0.0117379,-0.725731,-0.157935,20291
-10.2828,-0.722993,0.0211679,-3.8919,-0.861318,3.72222,0.0133718,-0.725843,-0.158097,21483
-10.2828,-0.722993,0.0211684,-3.38483,-0.873674,4.04452,0.0151059,-0.725962,-0.158191,22917
-8.51607,-0.807395,0.0272165,-3.38483,-0.873674,4.04452,0.0151059,-0.725962,-0.158191,24241
-8.51607,-0.807395,0.0272171,-2.94207,-0.882349,4.35778,0.01693,-0.726089,-0.157926,24324
-8.51607,-0.807395,0.0272176,-2.55931,-0.887692,4.65974,0.0188469,-0.726224,-0.15807,25754
-8.51607,-0.807395,0.0272181,-2.22603,-0.888676,4.95191,0.0208574,-0.726366,-0.158121,27234
-6.98983,-0.864968,0.0335667,-2.22603,-0.888677,4.95191,0.0208574,-0.726366,-0.158121,28165
-6.98983,-0.864968,0.0335672,-1.9371,-0.892669,5.23318,0.0229477,-0.726515,-0.158133,28639
-6.98983,-0.864968,0.0335677,-1.68825,-0.895898,5.50058,0.0251312,-0.726671,-0.157904,30083
-6.98983,-0.864968,0.0335673,-1.47329,-0.898639,5.75704,0.0273945,-0.726836,-0.157885,31530
-5.70049,-0.904831,0.0396269,-1.47329,-0.898639,5.75704,0.0273945,-0.726836,-0.157885,32110
-5.70049,-0.904831,0.0396265,-1.28633,-0.900995,6.00017,0.0297428,-0.727007,-0.157645,32981
-5.70049,-0.90483,0.0396261,-1.12632,-0.904195,6.23141,0.0321601,-0.727186,-0.157541,34346
-5.70049,-0.90483,0.0396257,-0.989323,-0.902953,6.44869,0.0346566,-0.727372,-0.157919,35805
-4.62663,-0.932277,0.0453759,-0.989323,-0.902953,6.44869,0.0346566,-0.727372,-0.157919,36125
-4.62663,-0.932277,0.0453755,-0.867225,-0.903418,6.65538,0.0372281,-0.727565,-0.157738,37274
-4.62663,-0.932277,0.0453751,-0.761194,-0.903236,6.85091,0.0398679,-0.727765,-0.157586,38717
-3.74581,-0.953093,0.0517751,-0.761194,-0.903236,6.85091,0.0398678,-0.727765,-0.157586,40073
-3.74581,-0.953093,0.0517747,-0.670715,-0.90353,7.03425,0.0425749,-0.727972,-0.157768,40172
-3.74581,-0.953092,0.0517741,-0.594665,-0.903508,7.2064,0.0453441,-0.728188,-0.157923,41565
-3.74581,-0.953092,0.0517734,-0.526668,-0.904083,7.36831,0.0481718,-0.728409,-0.157742,43005
-3.02762,-0.967424,0.0575671,-0.526668,-0.904083,7.36831,0.0481718,-0.728409,-0.157742,44069
-3.02762,-0.967424,0.0575665,-0.467326,-0.902766,7.5198,0.0510517,-0.728638,-0.157684,44430
-3.02762,-0.967424,0.0575658,-0.417827,-0.901097,7.66287,0.0539857,-0.728874,-0.157806,45852
-3.02762,-0.967423,0.0575651,-0.368849,-0.901999,7.79495,0.05697,-0.729117,-0.157895,47267
-2.44483,-0.9782,0.0619774,-0.368849,-0.901999,7.79495,0.05697,-0.729117,-0.157895,47954
-2.44483,-0.9782,0.0619767,-0.329394,-0.899706,7.91999,0.0600106,-0.729367,-0.157747,48733
-2.44483,-0.9782,0.0619761,-0.289891,-0.901652,8.03503,0.0630835,-0.729622,-0.158126,50171
-2.44483,-0.9782,0.0619765,-0.255308,-0.899991,8.14533,0.0662073,-0.729886,-0.158096,51615
-1.97299,-0.985313,0.0655576,-0.255308,-0.899991,8.14534,0.0662073,-0.729886,-0.158096,51892
-1.97299,-0.985313,0.065558,-0.226496,-0.90437,8.24639,0.0693607,-0.730155,-0.158417,53026
-1.97299,-0.985313,0.0655584,-0.20753,-0.901415,8.3425,0.072556,-0.730433,-0.157949,54441
-1.59249,-0.990201,0.0687193,-0.20753,-0.901415,8.34251,0.072556,-0.730433,-0.157949,55809
-1.59249,-0.990201,0.0687197,-0.194008,-0.897745,8.43053,0.0757927,-0.730721,-0.157948,55903
-1.59249,-0.990201,0.0687201,-0.17736,-0.897796,8.51487,0.0790676,-0.731012,-0.157686,57336
-1.59249,-0.990201,0.0687205,-0.153993,-0.897954,8.59146,0.08235,-0.731309,-0.158288,58750
-1.28624,-0.993407,0.0714351,-0.153993,-0.897954,8.59146,0.08235,-0.731309,-0.158288,59707
-1.28624,-0.993407,0.0714355,-0.129451,-0.903874,8.66255,0.0856684,-0.731609,-0.15844,60186
-1.28624,-0.993407,0.0714351,-0.113819,-0.903616,8.73006,0.0890055,-0.731921,-0.158491,61625
-1.28624,-0.993407,0.0714347,-0.103897,-0.906719,8.79318,0.0923718,-0.732238,-0.15849,63065
-1.03865,-1.01194,0.0738487,-0.103897,-0.906719,8.79318,0.0923718,-0.732238,-0.15849,63670
-1.03865,-1.01194,0.0738483,-0.108117,-0.900938,8.85227,0.0957617,-0.732565,-0.157729,64474
-1.03865,-1.01194,0.0738479,-0.117586,-0.899142,8.90744,0.0991417,-0.732902,-0.157746,65912
-1.03865,-1.01194,0.0738475,-0.116002,-0.899606,8.95848,0.10257,-0.733241,-0.157773,67353
-0.838948,-1.00516,0.0759588,-0.116002,-0.899606,8.95848,0.10257,-0.733241,-0.157773,67600
-0.838948,-1.00516,0.0759584,-0.105714,-0.900038,9.00912,0.105992,-0.733586,-0.157951,68796
-0.838948,-1.00516,0.075958,-0.0843832,-0.902867,9.05423,0.109427,-0.733931,-0.158301,70201
-0.678163,-1.0024,0.0778024,-0.0843832,-0.902868,9.05423,0.109427,-0.733931,-0.158301,71555
-0.678163,-1.0024,0.0778019,-0.0739753,-0.910094,9.09796,0.112875,-0.734286,-0.158406,71646
-0.678163,-1.00241,0.0778013,-0.0763737,-0.909617,9.13792,0.116321,-0.734652,-0.158026,73089
-0.678163,-1.00241,0.0778008,-0.0864249,-0.906131,9.17572,0.119765,-0.735027,-0.157532,74456
-0.548788,-1.00051,0.0795989,-0.0864249,-0.906132,9.17572,0.119765,-0.735027,-0.157532,75461
-0.548788,-1.00051,0.0795984,-0.110044,-0.904842,9.20958,0.123225,-0.735416,-0.157978,75945
-0.548788,-1.00051,0.0795978,-0.112804,-0.903316,9.24268,0.126685,-0.735803,-0.157839,77379
-0.548788,-1.00051,0.0795973,-0.111237,-0.902813,9.27314,0.130144,-0.736197,-0.157402,78815
-0.444312,-0.998217,0.0811647,-0.111237,-0.902813,9.27314,0.130144,-0.736197,-0.157402,79417
-0.444312,-0.998218,0.0811642,-0.0888846,-0.906872,9.30283,0.133604,-0.736585,-0.15782,80200
-0.444312,-0.998217,0.0811638,-0.0749499,-0.912894,9.33162,0.137038,-0.736985,-0.157892,81641
-0.444312,-0.998217,0.0811634,-0.0753232,-0.914572,9.35602,0.140499,-0.737393,-0.15815,83079
-0.360317,-0.994806,0.0824316,-0.0753232,-0.914572,9.35602,0.140498,-0.737393,-0.15815,83360
-0.360317,-0.994805,0.0824312,-0.0929747,-0.910776,9.3805,0.143911,-0.737815,-0.1573,84494
-0.360317,-0.994804,0.0824308,-0.127059,-0.903725,9.40293,0.147313,-0.738254,-0.157348,85980
-0.292684,-0.992462,0.0839829,-0.127059,-0.903724,9.40293,0.147313,-0.738254,-0.157348,87289
-0.292684,-0.992461,0.0839825,-0.144703,-0.906434,9.42279,0.150723,-0.738692,-0.157557,87419
-0.292684,-0.99246,0.0839821,-0.151064,-0.906627,9.44382,0.154099,-0.739134,-0.157482,88829
-0.292684,-0.99246,0.0839817,-0.121923,-0.908919,9.46267,0.157483,-0.739565,-0.158179,90268
-0.238478,-0.998391,0.0853105,-0.121923,-0.908919,9.46265,0.157483,-0.739565,-0.158179,91205
-0.238478,-0.998391,0.0852874,-0.0957069,-0.910392,9.48337,0.160857,-0.740004,-0.157942,91709
-0.238478,-0.998392,0.0852644,-0.0794864,-0.918475,9.49863,0.164221,-0.740447,-0.158181,93135
-0.238478,-0.998392,0.0852413,-0.0963255,-0.915778,9.51364,0.167556,-0.74091,-0.157547,94575
-0.193645,-0.995612,0.0865029,-0.0963255,-0.915778,9.51361,0.167556,-0.74091,-0.157547,95171
-0.193645,-0.995612,0.0864798,-0.136134,-0.904989,9.52415,0.170842,-0.741397,-0.157461,96008
-0.193645,-0.995612,0.0864568,-0.17805,-0.905719,9.53558,0.17412,-0.741892,-0.157228,97423
-0.193645,-0.995613,0.0864337,-0.212592,-0.899038,9.54971,0.177352,-0.742398,-0.15737,98812
-0.157528,-0.993702,0.0871207,-0.212592,-0.899038,9.54969,0.177352,-0.742398,-0.15737,99118
-0.157528,-0.993702,0.0870976,-0.191489,-0.898702,9.56044,0.180589,-0.742878,-0.158598,100257
-0.157528,-0.993702,0.087052,-0.155456,-0.9109,9.57213,0.183844,-0.743354,-0.158117,101732
-0.128851,-0.999327,0.0876376,-0.155456,-0.9109,9.57209,0.183844,-0.743354,-0.158117,103034
-0.128851,-0.999327,0.087592,-0.117705,-0.916725,9.58133,0.18705,-0.743832,-0.158453,103175
-0.128851,-0.999326,0.0875464,-0.100314,-0.921267,9.58899,0.190236,-0.744317,-0.158452,104532
