ax,ay,az,fx,fy,fz,tx,ty,tz,t
1.43751e-311,1.43751e-311,0,0,0,0,0,0,0,0
-2.21388,7.90649e-06,-2.05069e-05,-2.05963,-0.00547885,0.00455718,1.10877e-05,-0.0906087,-0.0139478,0
-4.42776,1.5813e-05,-4.10138e-05,-4.1061,-0.0161443,0.0136722,3.35575e-05,-0.181219,-0.0365509,1406
-6.64164,2.37195e-05,-6.15207e-05,-6.13083,-0.0316002,0.0273495,6.75024e-05,-0.271831,-0.0611693,2863
-8.85551,3.1626e-05,-8.20276e-05,-8.12553,-0.0517692,0.0454981,0.00011275,-0.362444,-0.0835659,4309
-11.0694,3.95324e-05,-0.000102534,-10.0825,-0.0761963,0.0681262,0.000169394,-0.453057,-0.102043,5725
-13.2833,4.74389e-05,-0.000123041,-11.9947,-0.1035,0.0951677,0.000237555,-0.54367,-0.116434,7162
-15.2684,-0.0432487,0.000415106,-14.0587,-0.103493,0.0951486,0.000237231,-0.634277,-0.116322,8416
-17.4823,-0.0432408,0.000394599,-15.796,-0.146302,0.139157,0.000348702,-0.724891,-0.132554,8600
-17.4823,-0.0432407,0.000394466,-15.45,-0.188695,0.187218,0.000471664,-0.724899,-0.140876,10035
-17.4823,-0.0432405,0.000394333,-15.0879,-0.229683,0.239244,0.000606289,-0.724908,-0.145797,11450
-17.062,-0.108019,0.00132595,-15.0879,-0.229683,0.239244,0.000606284,-0.724908,-0.145797,12409
-17.062,-0.108019,0.00132582,-14.6256,-0.281704,0.30748,0.00078373,-0.724919,-0.151089,12893
-17.062,-0.108018,0.00132568,-14.1614,-0.328974,0.379173,0.000972959,-0.724932,-0.153499,14299
-17.062,-0.108018,0.00132555,-13.6978,-0.371908,0.454053,0.00117328,-0.724945,-0.154913,15762
-16.5024,-0.187419,0.00265329,-13.6978,-0.371907,0.454053,0.00117327,-0.724945,-0.154913,16321
-16.5024,-0.187419,0.00265316,-13.1602,-0.419594,0.544264,0.00141677,-0.724961,-0.15591,17179
-16.5024,-0.187419,0.00265303,-12.6381,-0.461125,0.636663,0.00167145,-0.724977,-0.156628,18611
-16.5024,-0.187419,0.00265289,-12.1307,-0.497409,0.731558,0.00193698,-0.724995,-0.15702,20033
-15.827,-0.273627,0.00431246,-12.1307,-0.497409,0.731558,0.00193699,-0.724995,-0.15702,20291
-15.827,-0.273627,0.00431299,-11.5722,-0.536546,0.840313,0.00224543,-0.725015,-0.157494,21483
-15.827,-0.273627,0.00431352,-11.0423,-0.572228,0.950929,0.00256533,-0.725036,-0.157745,22917
-15.0866,-0.357493,0.00603871,-11.0423,-0.572228,0.95093,0.00256534,-0.725036,-0.157745,24241
-15.0866,-0.357493,0.00603924,-10.4771,-0.607805,1.0742,0.00292737,-0.72506,-0.15775,24324
-15.0866,-0.357494,0.00603978,-9.94786,-0.637497,1.19769,0.00330018,-0.725085,-0.157889,25754
-15.0866,-0.357494,0.00604031,-9.45086,-0.661749,1.32173,0.00368362,-0.725111,-0.157969,27234
-14.2778,-0.438386,0.00810876,-9.45086,-0.66175,1.32173,0.00368363,-0.725111,-0.157969,28165
-14.2778,-0.438386,0.0081093,-8.93233,-0.687646,1.45718,0.00410824,-0.725139,-0.158038,28639
-14.2778,-0.438386,0.00810983,-8.45179,-0.709713,1.59166,0.00454466,-0.725168,-0.157945,30083
-14.2778,-0.438386,0.00810943,-8.00493,-0.728823,1.72591,0.00499071,-0.725198,-0.157924,31530
-13.4254,-0.513705,0.0103994,-8.00493,-0.728823,1.72591,0.00499069,-0.725198,-0.157924,32110
-13.4254,-0.513705,0.010399,-7.54532,-0.748023,1.86943,0.00547933,-0.72523,-0.157752,32981
-13.4254,-0.513705,0.0103986,-7.12216,-0.764962,2.01188,0.00597746,-0.725264,-0.157659,34346
-13.4254,-0.513704,0.0103982,-6.73178,-0.777862,2.15221,0.00648617,-0.725298,-0.157808,35805
-12.5521,-0.581751,0.0128968,-6.73178,-0.777861,2.15221,0.00648616,-0.725298,-0.157808,36125
-12.5521,-0.581751,0.0128964,-6.33297,-0.791433,2.3009,0.00703645,-0.725335,-0.157735,37274
-12.5521,-0.581751,0.012896,-5.96719,-0.802689,2.44739,0.00759622,-0.725373,-0.157654,38717
-11.6958,-0.641386,0.0158152,-5.96719,-0.802689,2.44739,0.00759621,-0.725373,-0.157654,40073
-11.6958,-0.641385,0.0158148,-5.59984,-0.813935,2.60044,0.00819699,-0.725413,-0.157748,40172
-11.6958,-0.641385,0.0158141,-5.26608,-0.823263,2.7504,0.00880758,-0.725454,-0.157841,41565
-11.6958,-0.641385,0.0158135,-4.95976,-0.831494,2.89733,0.00942709,-0.725496,-0.157776,43005
-10.8492,-0.694061,0.0188689,-4.95976,-0.831494,2.89733,0.00942709,-0.725496,-0.157776,44069
-10.8492,-0.694061,0.0188682,-4.65219,-0.838732,3.04975,0.0100862,-0.725541,-0.157724,44430
-10.8492,-0.694061,0.0188676,-4.37326,-0.844533,3.19884,0.0107543,-0.725586,-0.157777,45852
-10.8492,-0.694061,0.0188669,-4.11567,-0.850501,3.34367,0.0114314,-0.725633,-0.15783,47267
-10.0239,-0.74042,0.0217802,-4.11567,-0.850501,3.34367,0.0114314,-0.725633,-0.15783,47954
-10.0239,-0.74042,0.0217795,-3.85913,-0.854924,3.49345,0.0121494,-0.725682,-0.15776,48733
-10.0239,-0.74042,0.0217789,-3.62362,-0.860422,3.63839,0.0128731,-0.725731,-0.15796,50171
-10.0239,-0.74042,0.0217793,-3.40844,-0.863706,3.78031,0.0136068,-0.725781,-0.157996,51615
-9.23071,-0.780248,0.0246385,-3.40844,-0.863706,3.78031,0.0136068,-0.725781,-0.157996,51892
-9.23071,-0.780248,0.0246389,-3.19369,-0.869781,3.92515,0.0143778,-0.725834,-0.158246,53026
