ax,ay,az,fx,fy,fz,tx,ty,tz,t
1.27226e-311,1.27226e-311,0,0,0,0,0,0,0,0
-2.07916e-06,-0.0176853,0.2254,-0.0221571,-0.746132,2.56517,0.000725237,-8.52622e-08,-0.155951,0
-2.07916e-06,-0.0176853,0.2254,-0.0314931,-0.881288,5.17361,0.000725237,-8.52622e-08,-0.158482,1406
-2.07916e-06,-0.0176853,0.2254,-0.0354433,-0.896309,7.02999,0.000725237,-8.52622e-08,-0.158365,2863
-2.07916e-06,-0.0176853,0.2254,-0.0300767,-0.907749,8.15316,0.000725237,-8.52622e-08,-0.158523,4309
-2.07916e-06,-0.0176853,0.2254,-0.0283779,-0.917715,8.80857,0.000725237,-8.52622e-08,-0.158648,5725
-2.07916e-06,-0.0176853,0.2254,-0.0257755,-0.905603,9.18313,0.000725237,-8.52622e-08,-0.158519,7162
-0.00981117,-0.961382,0.117816,-0.0257755,-0.905603,9.18313,0.000725237,-8.52622e-08,-0.158519,8416
-0.00942548,-0.960996,0.116439,-0.0245759,-0.912541,9.44333,0.000709422,1.57313e-05,-0.158638,8600
-0.00942549,-0.960996,0.116439,-0.0328705,-0.909411,9.55026,0.000709422,1.57307e-05,-0.158125,10035
-0.00942549,-0.960996,0.116439,-0.0567923,-0.897486,9.60626,0.000709422,1.57307e-05,-0.15744,11450
-0.0122045,-0.990742,0.0964478,-0.0567923,-0.897486,9.60626,0.000709422,1.57307e-05,-0.15744,12409
-0.0113781,-0.990742,0.0973844,-0.0567268,-0.922649,9.64638,0.000709422,4.96213e-05,-0.159005,12893
-0.0113781,-0.990742,0.0973844,-0.0553171,-0.915562,9.66685,0.000709422,4.96213e-05,-0.15835,14299
-0.0113781,-0.990742,0.0973844,-0.066325,-0.905643,9.67415,0.000709422,4.96213e-05,-0.158205,15762
-0.0124963,-0.996454,0.0941741,-0.066325,-0.905643,9.67415,0.000709422,4.96213e-05,-0.158205,16321
-0.0124963,-0.99695,0.0941741,-0.0738984,-0.908414,9.69176,0.000729756,4.96212e-05,-0.157401,17179
-0.0124963,-0.99695,0.0941741,-0.0869739,-0.900572,9.6846,0.000729756,4.96212e-05,-0.158059,18611
-0.0124963,-0.99695,0.0941741,-0.0848709,-0.89103,9.68767,0.000729756,4.96212e-05,-0.157933,20033
-0.0108,-0.996834,0.0933241,-0.0848708,-0.89103,9.68767,0.000729756,4.96234e-05,-0.157933,20291
-0.0126182,-0.995291,0.093269,-0.080961,-0.899315,9.69351,0.000666492,-2.49371e-05,-0.158197,21483
-0.0126182,-0.995291,0.093269,-0.106882,-0.91514,9.71011,0.000666492,-2.49371e-05,-0.158248,22917
