ax,ay,az,fx,fy,fz,tx,ty,tz,t
1.19618e-311,1.19618e-311,0,0,0,0,0,0,0,0
0.0163094,0.00396777,0.224243,-0.10847,-0.726047,2.67953,0.00786647,-0.000978608,-0.146294,0
0.0163094,0.00396777,0.224243,-0.163774,-0.879925,5.42657,0.023164,-0.00414008,-0.1489,1437
0.0163094,0.00396777,0.224243,-0.171112,-0.906397,7.37222,0.044457,-0.00885248,-0.147783,2868
0.0163094,0.00396777,0.224243,-0.178448,-0.905701,8.55952,0.0700441,-0.015087,-0.147897,4284
0.0163094,0.00396777,0.224243,-0.193269,-0.905599,9.24224,0.0983926,-0.0227938,-0.148284,5721
0.0163094,0.00396777,0.224243,-0.216849,-0.916493,9.6322,0.127763,-0.0319415,-0.148416,7177
-0.0139527,-0.955625,0.10555,-0.216849,-0.916493,9.6322,0.127763,-0.0319415,-0.148416,8416
-0.0139527,-0.956727,0.10555,-0.212942,-0.920527,9.90397,0.161687,-0.0439504,-0.14802,8598
-0.0139527,-0.956727,0.10555,-0.208969,-0.914107,10.0113,0.192628,-0.0571883,-0.148043,10024
-0.0139527,-0.956727,0.10555,-0.202253,-0.911316,10.0868,0.220623,-0.0715408,-0.148116,11483
-0.012884,-0.991398,0.0809819,-0.202253,-0.911316,10.0868,0.220623,-0.0715408,-0.148116,12362
-0.0137656,-0.991122,0.0789984,-0.216297,-0.931345,10.1324,0.248671,-0.0884594,-0.147997,12923
-0.0137656,-0.991122,0.0789984,-0.224532,-0.933543,10.1484,0.272565,-0.1062,-0.148383,14359
-0.0137656,-0.991122,0.0789984,-0.221635,-0.924698,10.1571,0.293068,-0.124736,-0.147883,15764
-0.0138933,-0.985246,0.0711771,-0.221635,-0.924698,10.1571,0.293068,-0.124736,-0.147883,16308
-0.013177,-0.985246,0.0724995,-0.2235,-0.932356,10.159,0.312534,-0.145225,-0.148255,17208
-0.013177,-0.985246,0.0724995,-0.232377,-0.932855,10.1593,0.328616,-0.166254,-0.148392,18616
-0.013177,-0.985246,0.0724995,-0.226505,-0.932304,10.1597,0.342063,-0.187643,-0.147876,20060
-0.0138044,-0.990388,0.0717893,-0.226505,-0.932304,10.1597,0.342063,-0.187643,-0.147876,20242
-0.0138044,-0.989286,0.0717893,-0.222083,-0.928429,10.1562,0.354744,-0.210619,-0.147759,21493
-0.0138044,-0.989286,0.0717893,-0.233389,-0.929114,10.1827,0.36526,-0.233658,-0.148057,22906
-0.0178784,-0.99061,0.0716117,-0.233389,-0.929114,10.1827,0.36526,-0.233658,-0.148057,24183
-0.0185396,-0.993035,0.0707853,-0.246728,-0.911244,10.1786,0.374848,-0.257983,-0.147977,24349
-0.0185396,-0.993035,0.0707853,-0.225754,-0.924367,10.1739,0.382481,-0.282059,-0.147611,25817
-0.0185396,-0.993035,0.0707853,-0.216243,-0.93001,10.1643,0.388727,-0.305869,-0.148138,27252
-0.00964844,-0.987427,0.0691882,-0.216243,-0.93001,10.1643,0.388727,-0.305869,-0.148138,28114
-0.00810572,-0.987427,0.0701248,-0.222423,-0.922096,10.1707,0.394452,-0.330478,-0.14773,28641
-0.00810572,-0.987427,0.0701248,-0.236001,-0.933333,10.1624,0.399202,-0.354697,-0.148124,30084
-0.00810565,-0.987427,0.0701248,-0.23738,-0.932904,10.1683,0.40316,-0.37846,-0.147981,31513
-0.00806405,-0.99098,0.0740296,-0.23738,-0.932904,10.1683,0.40316,-0.37846,-0.147981,32089
-0.00806405,-0.989657,0.0740296,-0.220508,-0.937182,10.1638,0.406607,-0.402653,-0.148137,32949
-0.00806405,-0.989657,0.0740296,-0.206299,-0.914636,10.1898,0.409595,-0.426189,-0.148469,34366
-0.00806405,-0.989657,0.0740296,-0.212928,-0.929563,10.1731,0.411933,-0.449118,-0.148283,35805
-0.0130319,-0.991116,0.0750658,-0.212928,-0.929563,10.1731,0.411933,-0.449118,-0.148283,36006
-0.0150153,-0.991061,0.0754515,-0.209853,-0.919386,10.1708,0.414145,-0.472361,-0.147482,37241
-0.0150153,-0.991061,0.0754515,-0.210998,-0.919388,10.1623,0.415844,-0.494797,-0.148019,38682
-0.0143178,-0.992774,0.0693475,-0.210998,-0.919388,10.1623,0.415844,-0.494797,-0.148019,39928
-0.013877,-0.992774,0.0689067,-0.232236,-0.927099,10.1533,0.417547,-0.517299,-0.147749,40114
-0.013877,-0.992774,0.0689067,-0.203292,-0.93676,10.1454,0.418824,-0.538925,-0.14857,41535
-0.013877,-0.992774,0.0689067,-0.178209,-0.920496,10.1514,0.42,-0.559686,-0.148434,42981
-0.0141172,-0.991078,0.0686848,-0.178209,-0.920496,10.1514,0.42,-0.559686,-0.148434,43882
-0.0141172,-0.991298,0.0686848,-0.184866,-0.935521,10.1478,0.420917,-0.580431,-0.148047,44411
-0.0141172,-0.991298,0.0686848,-0.178046,-0.916215,10.1461,0.421759,-0.600272,-0.148172,45850
-0.0141172,-0.991298,0.0686848,-0.189227,-0.92471,10.1387,0.422243,-0.619371,-0.14793,47265
-0.0133247,-0.990987,0.0686251,-0.189227,-0.92471,10.1387,0.422243,-0.619371,-0.14793,47833
-0.012939,-0.991263,0.0675782,-0.165465,-0.917885,10.1453,0.423047,-0.638276,-0.148052,48725
-0.012939,-0.991263,0.0675782,-0.188937,-0.931306,10.1451,0.423441,-0.656398,-0.147904,50134
-0.012939,-0.991263,0.0675782,-0.207578,-0.928845,10.1416,0.423779,-0.673734,-0.148025,51565
-0.0121104,-0.98663,0.0695877,-0.207578,-0.928845,10.1416,0.423779,-0.673734,-0.148025,51801
-0.0120002,-0.98663,0.0695877,-0.198016,-0.910333,10.1351,0.424123,-0.690842,-0.148046,53001
-0.0120002,-0.98663,0.0695877,-0.179103,-0.893016,10.1501,0.424464,-0.70717,-0.147767,54415
-0.0119698,-0.986352,0.070429,-0.179103,-0.893016,10.1501,0.424464,-0.70717,-0.147767,55743
-0.0119698,-0.984699,0.0709248,-0.136141,-0.898151,10.1544,0.424722,-0.723097,-0.148698,55862
-0.0119698,-0.984699,0.0709248,-0.1568,-0.906078,10.1636,0.424912,-0.738395,-0.14829,57331
-0.0119698,-0.984699,0.0709248,-0.175112,-0.918306,10.1519,0.425144,-0.752989,-0.147923,58736
-0.018176,-0.988291,0.070834,-0.175112,-0.918306,10.1519,0.425144,-0.752989,-0.147923,59657
-0.0197738,-0.988732,0.0715504,-0.221032,-0.921497,10.157,0.425245,-0.767486,-0.147337,60156
-0.0197738,-0.988732,0.0715504,-0.254949,-0.904626,10.1518,0.425291,-0.781421,-0.147881,61600
-0.0197738,-0.988732,0.0715504,-0.194173,-0.903684,10.1687,0.425463,-0.794334,-0.147995,63036
-0.0177027,-0.991518,0.0657977,-0.194173,-0.903684,10.1687,0.425463,-0.794334,-0.147995,63620
-0.0174272,-0.991518,0.0657977,-0.167663,-0.917446,10.1714,0.425455,-0.807068,-0.148557,64447
-0.0174272,-0.991518,0.0657977,-0.117684,-0.915471,10.1795,0.425637,-0.818891,-0.148158,65895
-0.0174272,-0.991518,0.0657977,-0.182266,-0.919634,10.1776,0.425644,-0.830451,-0.147997,67324
-0.0173481,-0.991688,0.0651684,-0.182266,-0.919634,10.1776,0.425644,-0.830451,-0.147997,67573
-0.0173481,-0.991963,0.0647827,-0.21237,-0.91555,10.1721,0.425739,-0.841806,-0.148127,68782
-0.0173481,-0.991963,0.0647827,-0.254682,-0.904775,10.1706,0.425516,-0.852677,-0.147321,70204
-0.0163412,-0.990145,0.0648928,-0.254684,-0.904775,10.1706,0.425516,-0.852678,-0.147321,71500
-0.0146332,-0.99053,0.064397,-0.279303,-0.893485,10.1858,0.425455,-0.863358,-0.14728,71632
-0.0146332,-0.99053,0.064397,-0.238483,-0.931628,10.1773,0.425622,-0.873354,-0.148249,73058
-0.0146332,-0.99053,0.064397,-0.197459,-0.915834,10.1932,0.425734,-0.882789,-0.147852,74488
-0.0144391,-0.987961,0.0703355,-0.197459,-0.915834,10.1932,0.425734,-0.882789,-0.147852,75443
-0.0159818,-0.987961,0.0703355,-0.115007,-0.922011,10.1871,0.425968,-0.891767,-0.14816,75926
