ax,ay,az,fx,fy,fz,tx,ty,tz,t
1.1276e-311,1.1276e-311,0,0,0,0,0,0,0,0
-0.00212174,-0.778111,0.172951,-0.139245,-0.803769,4.16522,-0.000117523,0.000668816,-0.147361,0
-0.00212174,-0.778111,0.172951,-0.174416,-0.89311,6.6954,-0.000117523,0.000668816,-0.148916,1437
-0.00212174,-0.778111,0.172951,-0.174452,-0.908583,8.18309,-0.000117523,0.000668816,-0.147783,2868
-0.0119022,-0.980074,0.100113,-0.180405,-0.905833,9.21353,-0.000128819,0.000632666,-0.147898,4284
-0.0119022,-0.980074,0.100113,-0.194068,-0.905621,9.64186,-0.000128819,0.000632666,-0.148284,5721
-0.0119022,-0.980074,0.100113,-0.217129,-0.916497,9.86369,-0.000128819,0.000632666,-0.148416,7177
-0.0128951,-0.98457,0.078169,-0.212859,-0.920427,10.0157,-0.000128819,0.000662038,-0.14802,8598
-0.0128951,-0.98457,0.078169,-0.208944,-0.91409,10.0716,-0.000128819,0.000662038,-0.148043,10024
-0.0128951,-0.98457,0.078169,-0.202246,-0.911314,10.1205,-0.000128819,0.000662038,-0.148116,11483
-0.0137618,-0.989245,0.0732932,-0.21612,-0.931269,10.1493,-0.000174007,0.000662038,-0.147997,12923
-0.0137618,-0.989245,0.0732932,-0.224477,-0.933531,10.1575,-0.000174007,0.000662038,-0.148383,14359
-0.0137618,-0.989245,0.0732932,-0.221618,-0.924696,10.1621,-0.000174007,0.000662038,-0.147883,15764
-0.0186989,-0.993057,0.0711733,-0.22377,-0.932576,10.1604,-7.45937e-05,0.000634925,-0.148255,17208
-0.0186989,-0.993057,0.0711733,-0.232458,-0.932891,10.1601,-7.45937e-05,0.000634925,-0.148392,18616
-0.00847516,-0.987531,0.0703276,-0.225365,-0.932263,10.1605,-7.45938e-05,0.000698189,-0.147873,20060
-0.00847523,-0.987531,0.0703276,-0.222248,-0.928799,10.1571,-7.4594e-05,0.000698186,-0.14776,21493
-0.00847523,-0.987531,0.0703276,-0.2333,-0.929174,10.1821,-7.4594e-05,0.000698186,-0.148057,22906
-0.0081202,-0.989663,0.0740695,-0.246571,-0.910909,10.1787,-0.000128819,0.000698186,-0.147977,24349
-0.0081202,-0.989663,0.0740695,-0.225709,-0.924311,10.174,-0.000128819,0.000698186,-0.147611,25817
-0.0081202,-0.989663,0.0740695,-0.21623,-0.930001,10.1643,-0.000128819,0.000698186,-0.148138,27252
-0.0150237,-0.991061,0.0754617,-0.223118,-0.92209,10.1705,-0.000131079,0.000616848,-0.14773,28641
-0.0150237,-0.991061,0.0754617,-0.236211,-0.933331,10.1623,-0.000131079,0.000616848,-0.148124,30084
-0.0138786,-0.992774,0.06891,-0.237537,-0.932869,10.1692,-0.000131079,0.000634925,-0.14798,31513
-0.0138786,-0.992774,0.06891,-0.222503,-0.936974,10.1649,-0.000131079,0.000634925,-0.148136,32949
-0.0138786,-0.992774,0.06891,-0.207098,-0.914651,10.1893,-0.000131079,0.000634925,-0.148469,34366
-0.0141174,-0.991298,0.0686857,-0.214056,-0.9308,10.1697,-0.000122041,0.000634925,-0.148281,35805
-0.0141174,-0.991298,0.0686857,-0.210203,-0.92034,10.1692,-0.000122041,0.000634925,-0.147487,37241
-0.0141174,-0.991298,0.0686857,-0.211092,-0.919547,10.1617,-0.000122041,0.000634925,-0.148019,38682
-0.012939,-0.991263,0.0675784,-0.232255,-0.927139,10.1528,-0.000110744,0.000650741,-0.147749,40114
-0.012939,-0.991263,0.0675784,-0.203301,-0.936766,10.1451,-0.000110744,0.000650741,-0.14857,41535
-0.012939,-0.991263,0.0675784,-0.178213,-0.920498,10.1513,-0.000110744,0.000650741,-0.148434,42981
-0.0120002,-0.98663,0.0695877,-0.184845,-0.935501,10.1477,-0.000110744,0.00065526,-0.148047,44411
-0.0120002,-0.98663,0.0695877,-0.17804,-0.916213,10.1461,-0.000110744,0.00065526,-0.148172,45850
-0.0120002,-0.98663,0.0695877,-0.189225,-0.924709,10.1387,-0.000110744,0.00065526,-0.14793,47265
-0.0119685,-0.984694,0.0709751,-0.165542,-0.917709,10.146,-0.000178526,0.00065526,-0.148052,48725
-0.0119686,-0.984694,0.0709751,-0.188959,-0.931277,10.1455,-0.000178526,0.000655258,-0.147904,50134
-0.0195362,-0.988665,0.0715705,-0.210603,-0.928682,10.1413,-0.000160451,0.000589735,-0.148026,51565
-0.0195362,-0.988665,0.0715705,-0.200056,-0.911664,10.1357,-0.000160451,0.000589735,-0.148046,53001
-0.0195362,-0.988665,0.0715705,-0.179975,-0.893275,10.1498,-0.000160451,0.000589735,-0.147767,54415
-0.0173929,-0.991513,0.0658245,-0.136296,-0.898327,10.1541,-0.000160451,0.000601032,-0.148698,55862
-0.0173929,-0.991513,0.0658245,-0.156844,-0.906107,10.1634,-0.000160451,0.000601032,-0.14829,57331
-0.0173929,-0.991513,0.0658245,-0.175124,-0.91831,10.1518,-0.000160451,0.000601032,-0.147923,58736
-0.0173429,-0.991963,0.06479,-0.220716,-0.921482,10.1565,-0.000149154,0.000601031,-0.147337,60156
-0.0173429,-0.991963,0.06479,-0.254851,-0.904624,10.1515,-0.000149154,0.000601031,-0.147881,61600
-0.0173429,-0.991963,0.06479,-0.194147,-0.903684,10.1685,-0.000149154,0.000601031,-0.147995,63036
-0.0145911,-0.990496,0.0644055,-0.167375,-0.91748,10.1711,-0.000133338,0.000671073,-0.148557,64447
-0.0145911,-0.990496,0.0644055,-0.1176,-0.915477,10.1793,-0.000133338,0.000671073,-0.148158,65895
-0.0159814,-0.988005,0.0700262,-0.191922,-0.919974,10.1771,-0.000133338,0.000607809,-0.147996,67324
-0.0159814,-0.988005,0.0700262,-0.211826,-0.915882,10.1727,-0.000133338,0.000607809,-0.148126,68782
-0.0159814,-0.988005,0.0700262,-0.253987,-0.904854,10.171,-0.000133338,0.000607809,-0.147321,70204
-0.0146441,-0.98698,0.0710282,-0.279479,-0.893383,10.1879,-0.00016723,0.00060772,-0.14728,71632
-0.0146441,-0.98698,0.0710282,-0.238542,-0.931609,10.1785,-0.00016723,0.00060772,-0.148249,73058
-0.0146441,-0.98698,0.0710282,-0.197481,-0.915832,10.1939,-0.00016723,0.00060772,-0.147852,74488
-0.0170534,-1.00605,0.063292,-0.114612,-0.922091,10.1857,-0.000131079,0.000628056,-0.14816,75926
-0.0170534,-1.00605,0.063292,-0.1737,-0.91253,10.1877,-0.000131079,0.000628056,-0.14811,77343
-0.0170534,-1.00605,0.063292,-0.228589,-0.907085,10.169,-0.000131079,0.000628056,-0.14788,78781
-0.0144871,-0.990513,0.0666573,-0.301308,-0.902195,10.1772,-0.000131079,0.000632578,-0.147395,80218
-0.0144871,-0.990513,0.0666573,-0.340792,-0.901715,10.1774,-0.000131079,0.000632578,-0.147404,81653
-0.0142205,-0.989912,0.0714188,-0.276728,-0.936391,10.1987,-0.000117523,0.000632577,-0.147517,83075
